time/episodes,rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/ent_coef
450,0.37,1868,37.44,4,7859,-2.0836826999999998,0.001,-0.3905276656150818,0.0004470673156902194,7758,-1.7415717840194702,0.0020445464178919792
460,0.45,1960,39.79,4,8228,-2.1056890999999998,0.001,-0.2764351963996887,0.00040908483788371086,8127,-2.0866758823394775,0.0018286220729351044
470,0.52,2088,43.04,4,8740,-2.14020448,0.001,-0.12818220257759094,0.00044614181388169527,8639,-2.238447666168213,0.0016319009009748697
480,0.61,2135,42.37,4,8931,-2.0099351299999997,0.001,-0.0730341374874115,0.0008160877623595297,8830,-1.066193699836731,0.0015924789477139711
490,0.68,2218,44.27,4,9263,-1.9980079399999997,0.001,-0.01541547104716301,0.00038091186434030533,9162,0.35214030742645264,0.0015053150709718466
500,0.75,2263,42.14,4,9444,-1.8146243299999996,0.001,0.014605257660150528,0.00021697503689210862,9343,-0.9186818599700928,0.0014835165347903967
510,0.81,2299,36.78,4,9588,-1.5330122599999998,0.001,0.04979921132326126,0.0003249436558689922,9487,3.2611641883850098,0.0014607103075832129
520,0.86,2346,32.47,4,9775,-1.29548733,0.001,0.0571320503950119,0.0002635444689076394,9674,-1.1041321754455566,0.0014441125094890594
530,0.9,2389,28.33,4,9946,-1.12716962,0.001,0.09370703995227814,0.00021515450498554856,9845,1.4650503396987915,0.0014374032616615295
540,0.92,2421,25.0,4,10076,-0.9812462799999997,0.001,0.10068926215171814,0.00024503859458491206,9975,-0.6712337732315063,0.001450944459065795
550,0.92,2447,23.22,4,10181,-0.91587807,0.001,0.11054399609565735,0.00020385267271194607,10080,0.6450814008712769,0.0014787112595513463
560,0.94,2476,20.7,4,10298,-0.8388188200000002,0.001,0.1319865882396698,0.00019988440908491611,10197,3.1624698638916016,0.0015270086005330086
570,0.97,2499,16.5,4,10390,-0.6935718900000002,0.001,0.13654673099517822,0.00025610014563426375,10289,-0.8850550651550293,0.0015443271258845925
580,0.98,2525,15.62,4,10493,-0.6597336300000001,0.001,0.15149927139282227,0.00026195417740382254,10392,1.2242052555084229,0.0015872465446591377
590,0.99,2549,13.25,4,10588,-0.59149407,0.001,0.1795976459980011,0.0002150963991880417,10487,2.3859670162200928,0.0016187243163585663
600,1.0,2566,12.12,4,10656,-0.56107713,0.001,0.1840849220752716,0.0001950571604538709,10555,0.6540848612785339,0.0016630608588457108
610,1.0,2587,11.53,4,10741,-0.5396895199999999,0.001,0.14494435489177704,0.0003386370372027159,10640,1.2930845022201538,0.0017338715260848403
620,1.0,2605,10.38,4,10813,-0.49913610999999997,0.001,0.16788926720619202,0.00016752863302826881,10712,1.6992597579956055,0.0017932080663740635
630,1.0,2629,9.65,4,10911,-0.48403559000000007,0.001,0.17011788487434387,0.0002373716124566272,10810,-0.32734715938568115,0.0018474506214261055
640,1.0,2646,9.03,4,10979,-0.46587496,0.001,0.1827639937400818,0.0004432621062733233,10878,1.1726258993148804,0.0019080383935943246
650,1.0,2665,8.75,4,11056,-0.46546284,0.001,0.18116959929466248,0.0004230234189890325,10955,0.8692415952682495,0.0019838756415992975
660,1.0,2683,8.27,4,11125,-0.45551001999999996,0.001,0.1852039098739624,0.00027318380307406187,11024,0.7241078615188599,0.002054201439023018
670,1.0,2702,8.13,4,11203,-0.44504042999999993,0.001,0.17543084919452667,0.00029413794982247055,11102,-0.21520698070526123,0.002094949595630169
680,1.0,2719,7.78,4,11271,-0.4394644300000001,0.001,0.2041665017604828,0.0003524554776959121,11170,3.4990155696868896,0.002167424187064171
690,1.0,2734,7.44,4,11332,-0.42932275999999997,0.001,0.18399874866008759,0.00037237018113955855,11231,2.3331356048583984,0.0022178594954311848
700,1.0,2752,7.49,4,11405,-0.43076288999999995,0.001,0.19235175848007202,0.00018348291632719338,11304,-0.28082722425460815,0.0022833701223134995
710,1.0,2771,7.39,4,11480,-0.42255094,0.001,0.17031201720237732,0.00034446956124156713,11379,-0.5740174055099487,0.0023424013052135706
720,1.0,2788,7.35,4,11548,-0.43246349,0.001,0.18845072388648987,0.0004080355865880847,11447,-0.26021522283554077,0.0024015463422983885
730,1.0,2806,7.08,4,11619,-0.4257117,0.001,0.18193495273590088,0.0003917110152542591,11518,0.5680074691772461,0.002481200033798814
740,1.0,2823,7.11,4,11690,-0.42737250000000004,0.001,0.20975762605667114,0.0002876474754884839,11589,1.980823040008545,0.00253800000064075
750,1.0,2842,7.1,4,11766,-0.42375248000000004,0.001,0.1960069239139557,0.0002743921068031341,11665,1.0283501148223877,0.0025678768288344145
760,1.0,2862,7.19,4,11844,-0.42353377000000003,0.001,0.1984293907880783,0.0002915333316195756,11743,0.8525224328041077,0.002631918992847204
770,1.0,2878,7.06,4,11909,-0.42492652999999997,0.001,0.19899627566337585,0.00029156915843486786,11808,0.5705393552780151,0.002682663267478347
780,1.0,2896,7.09,4,11980,-0.42779873,0.001,0.19619712233543396,0.00027657439932227135,11879,0.11134186387062073,0.002690898720175028
790,1.0,2911,7.11,4,12043,-0.43279679000000004,0.001,0.1822851598262787,0.0003503910265862942,11942,2.1476244926452637,0.0027406623121351004
800,1.0,2927,7.01,4,12106,-0.4275701599999999,0.001,0.18728181719779968,0.0003631423751357943,12005,-1.364296555519104,0.0027681661304086447
810,1.0,2948,7.11,4,12191,-0.43458135999999997,0.001,0.19178758561611176,0.0003920412273146212,12090,-0.29405850172042847,0.0027773340698331594
820,1.0,2965,7.1,4,12258,-0.4351287299999999,0.001,0.1850208044052124,0.0003169024712406099,12157,0.34266531467437744,0.0027983696199953556
830,1.0,2979,6.96,4,12315,-0.43168662,0.001,0.19087457656860352,0.00030060773133300245,12214,0.31404393911361694,0.0028291598428040743
840,1.0,2997,6.96,4,12386,-0.4410395,0.001,0.20097105205059052,0.00030174257699400187,12285,0.43903782963752747,0.002868558280169964
850,1.0,3012,6.78,4,12444,-0.43315937000000004,0.001,0.19801834225654602,0.00042963260784745216,12343,-0.7648004293441772,0.0029128757305443287
860,1.0,3029,6.68,4,12512,-0.43577878,0.001,0.18516480922698975,0.00024129360099323094,12411,0.6888130307197571,0.0029507933650165796
870,1.0,3046,6.71,4,12580,-0.43696787,0.001,0.1930018663406372,0.0002067952009383589,12479,1.1707940101623535,0.0029509186279028654
880,1.0,3062,6.64,4,12644,-0.4308589300000001,0.001,0.19404934346675873,0.0002833013131748885,12543,0.6448723077774048,0.002963520586490631
890,1.0,3079,6.7,4,12713,-0.4273653599999999,0.001,0.2044491171836853,0.0002894264762289822,12612,0.9351346492767334,0.002994607435539365
900,1.0,3096,6.77,4,12783,-0.43296992,0.001,0.1794789582490921,0.0002447544247843325,12682,1.2664375305175781,0.0029868879355490208
910,1.0,3110,6.47,4,12838,-0.42691783000000005,0.001,0.17621949315071106,0.0003259974473621696,12737,-0.9259898662567139,0.0029982037376612425
920,1.0,3126,6.45,4,12903,-0.42555922999999996,0.001,0.16478845477104187,0.0002040739927906543,12802,-0.5726283192634583,0.003045759629458189
930,1.0,3146,6.66,4,12981,-0.43520715000000004,0.001,0.16004395484924316,0.0002948698529507965,12880,-1.6689798831939697,0.003035374451428652
940,1.0,3162,6.6,4,13046,-0.42468952000000004,0.001,0.16884678602218628,0.00025316717801615596,12945,1.2537847757339478,0.002997366013005376
950,1.0,3177,6.62,4,13106,-0.4235693300000001,0.001,0.18091918528079987,0.0002562443842180073,13005,0.7569646239280701,0.003063477110117674
960,1.0,3193,6.61,4,13173,-0.41973891,0.001,0.16479454934597015,0.00018395717779640108,13072,0.22150996327400208,0.003031311556696892
970,1.0,3210,6.58,4,13238,-0.4250120399999999,0.001,0.17029555141925812,0.00018394572543911636,13137,-0.3672105073928833,0.003044386161491275
980,1.0,3227,6.64,4,13308,-0.42275652999999996,0.001,0.1802678108215332,0.00017847257549874485,13207,-0.3053649365901947,0.003059572074562311
990,1.0,3244,6.61,4,13374,-0.42990129000000005,0.001,0.1503983736038208,0.00014521864068228751,13273,-1.0977810621261597,0.0031012739054858685
1000,1.0,3259,6.54,4,13437,-0.42890443,0.001,0.19603663682937622,0.0002237471635453403,13336,1.7681764364242554,0.0030926158651709557
1010,1.0,3274,6.59,4,13497,-0.4344035,0.001,0.15494829416275024,0.00014237868890631944,13396,-0.42497962713241577,0.003111675614491105
1020,1.0,3290,6.57,4,13560,-0.4367433,0.001,0.18595080077648163,0.00016875163419172168,13459,1.0272514820098877,0.0031203972175717354
1030,1.0,3304,6.36,4,13617,-0.42992779999999997,0.001,0.1757200062274933,0.00016796612180769444,13516,0.2919315993785858,0.0031251502223312855
1040,1.0,3322,6.42,4,13688,-0.4297503200000001,0.001,0.1488875299692154,0.00019727346079889685,13587,-0.3580394983291626,0.003096028696745634
1050,1.0,3337,6.41,4,13747,-0.43161457000000003,0.001,0.16829535365104675,0.00018921468290500343,13646,1.1810256242752075,0.0030239501502364874
1060,1.0,3352,6.35,4,13808,-0.4293517600000001,0.001,0.17199453711509705,0.00019881888874806464,13707,-0.3401814103126526,0.0030464117880910635
1070,1.0,3368,6.36,4,13874,-0.43318325,0.001,0.14779441058635712,0.0001475292956456542,13773,-0.3734009861946106,0.0030680689960718155
1080,1.0,3385,6.31,4,13939,-0.43273502,0.001,0.1475571095943451,0.00016636276268400252,13838,-0.9739954471588135,0.003059331327676773
1090,1.0,3403,6.39,4,14013,-0.44118863999999985,0.001,0.14853179454803467,0.00014272317639552057,13912,0.16416430473327637,0.0031123370863497257
1100,1.0,3422,6.52,4,14089,-0.44083323,0.001,0.15850774943828583,0.00012570273247547448,13988,0.24092960357666016,0.0031258913222700357
1110,1.0,3437,6.52,4,14149,-0.43895123999999996,0.001,0.15443208813667297,0.0001456214376958087,14048,0.5315886735916138,0.003119219094514847
1120,1.0,3451,6.47,4,14207,-0.42719051999999996,0.001,0.155667245388031,0.0001962233945960179,14106,-0.4844687581062317,0.0031076318118721247
1130,1.0,3466,6.5,4,14267,-0.42981995999999995,0.001,0.15168316662311554,0.0001889739214675501,14166,0.12093420326709747,0.003065749304369092
1140,1.0,3481,6.36,4,14324,-0.42665860999999994,0.001,0.17206868529319763,0.00012527970829978585,14223,-0.4360523223876953,0.003110024379566312
1150,1.0,3495,6.35,4,14382,-0.42962908999999994,0.001,0.1706864833831787,0.00012571791012305766,14281,0.5994086265563965,0.0030835112556815147
1160,1.0,3510,6.35,4,14443,-0.4291796000000001,0.001,0.1903102844953537,0.00017637245764490217,14342,0.6875613927841187,0.003047723788768053
1170,1.0,3523,6.21,4,14495,-0.41719761,0.001,0.14461567997932434,0.00013579324877355248,14394,0.19552752375602722,0.003058440051972866
1180,1.0,3541,6.28,4,14567,-0.42306893,0.001,0.15142124891281128,0.0001516796473879367,14466,-0.23629459738731384,0.003069582162424922
1190,1.0,3556,6.12,4,14625,-0.4092250799999999,0.001,0.15416428446769714,0.0001828699605539441,14524,0.4072567820549011,0.0030892333015799522
1200,1.0,3572,6.01,4,14690,-0.40688257,0.001,0.14336228370666504,0.00015580753097310662,14589,-0.07064536213874817,0.00312246335670352
1210,1.0,3586,5.96,4,14745,-0.39681534999999996,0.001,0.1655825972557068,0.00015728162543382496,14644,-0.3094717860221863,0.003137292107567191
1220,1.0,3599,5.93,4,14800,-0.39885249,0.001,0.15756580233573914,0.00013982376549392939,14699,-1.078740119934082,0.0031516863964498043
1230,1.0,3615,5.97,4,14864,-0.4003742800000001,0.001,0.12835852801799774,0.00010715010284911841,14763,0.19116365909576416,0.003124125301837921
1240,1.0,3629,5.95,4,14919,-0.4029220999999999,0.001,0.1482592225074768,0.00012059688742738217,14818,0.10584273934364319,0.0031195746269077063
1250,1.0,3647,6.07,4,14989,-0.41110272000000003,0.001,0.15742862224578857,0.00010175388888455927,14888,-0.11163254827260971,0.0031181366648525
1260,1.0,3662,6.06,4,15049,-0.41023275,0.001,0.16486775875091553,0.00011694323620758951,14948,-0.026290416717529297,0.0030755731277167797
1270,1.0,3678,6.18,4,15113,-0.4137444800000001,0.001,0.15155282616615295,0.00017640972509980202,15012,-0.2569517493247986,0.003120638430118561
1280,1.0,3694,6.13,4,15180,-0.41084195,0.001,0.15940126776695251,0.00018571344844531268,15079,0.009159818291664124,0.0030662654899060726
1290,1.0,3709,6.15,4,15240,-0.41277587999999993,0.001,0.15607786178588867,0.00018524785991758108,15139,0.7700470089912415,0.0030266246758401394
1300,1.0,3726,6.16,4,15306,-0.41479777000000007,0.001,0.1617843061685562,0.00017570971976965666,15205,-0.7749605178833008,0.0030846642330288887
1310,1.0,3742,6.27,4,15372,-0.4268995099999999,0.001,0.1502852886915207,0.00015520335000474006,15271,0.6504232883453369,0.003130946774035692
1320,1.0,3756,6.29,4,15429,-0.42842592999999995,0.001,0.15470540523529053,0.0001332087122136727,15328,1.0637787580490112,0.0031549553386867046
1330,1.0,3773,6.31,4,15495,-0.42763668999999993,0.001,0.16842061281204224,0.00013149870210327208,15394,-1.3343840837478638,0.0031859679147601128
1340,1.0,3789,6.41,4,15560,-0.43511601000000005,0.001,0.15918071568012238,0.00015948651707731187,15459,0.5936213731765747,0.0031227029394358397
1350,1.0,3803,6.29,4,15618,-0.42571000000000003,0.001,0.1582709401845932,0.00013800369924865663,15517,-0.6538166403770447,0.003135457169264555
1360,1.0,3818,6.27,4,15676,-0.43269053999999996,0.001,0.144385427236557,0.0001240987330675125,15575,0.672726035118103,0.0031900920439511538
1370,1.0,3832,6.2,4,15733,-0.4378009,0.001,0.13845187425613403,0.00017852999735623598,15632,-0.4879201352596283,0.0032085669226944447
1380,1.0,3845,6.06,4,15786,-0.43222180999999993,0.001,0.15787795186042786,0.00010441131598781794,15685,0.18783432245254517,0.003176463069394231
1390,1.0,3861,6.08,4,15848,-0.43529312,0.001,0.15727826952934265,0.00012257631169632077,15747,0.19543737173080444,0.0032190349884331226
1400,1.0,3877,6.05,4,15911,-0.43214988,0.001,0.15992484986782074,0.0001479651837144047,15810,1.176627278327942,0.003190827090293169
1410,1.0,3892,6.02,4,15974,-0.42388447000000007,0.001,0.14646422863006592,0.00013261698768474162,15873,1.600254774093628,0.0031969875562936068
1420,1.0,3907,6.05,4,16034,-0.4234774799999999,0.001,0.16019031405448914,0.00011159614223288372,15933,-0.1575741320848465,0.003239136189222336
1430,1.0,3922,5.97,4,16092,-0.41791218,0.001,0.14033657312393188,0.0001341740135103464,15991,0.08577166497707367,0.003184883389621973
1440,1.0,3937,5.93,4,16153,-0.42071522,0.001,0.1484711468219757,8.630062802694738e-05,16052,0.7744208574295044,0.003217555582523346
1450,1.0,3952,5.97,4,16215,-0.4248269,0.001,0.1649475395679474,0.00011269123933743685,16114,0.4222061038017273,0.003258496057242155
1460,1.0,3967,5.97,4,16273,-0.41787349,0.001,0.1568882018327713,0.00010719669808167964,16172,1.2874029874801636,0.0032867223490029573
1470,1.0,3981,5.96,4,16329,-0.41281315,0.001,0.15829801559448242,0.00012198944750707597,16228,-0.5025060772895813,0.0033149668015539646
1480,1.0,3995,5.99,4,16385,-0.41134226999999995,0.001,0.16368575394153595,9.463427704758942e-05,16284,0.5326411128044128,0.0032989378087222576
1490,1.0,4009,5.95,4,16443,-0.40859982,0.001,0.15478812158107758,0.00011645094491541386,16342,0.9037682414054871,0.003278177697211504
1500,1.0,4024,5.9,4,16501,-0.40424527,0.001,0.14958953857421875,8.512338536093011e-05,16400,-0.21428930759429932,0.0033127926290035248
1510,1.0,4037,5.81,4,16555,-0.4085663000000001,0.001,0.15098236501216888,0.00011058931704610586,16454,0.7618353962898254,0.0033143330365419388
1520,1.0,4051,5.75,4,16609,-0.40011415,0.001,0.1542978286743164,0.0001273743691854179,16508,-0.20915798842906952,0.0033559398725628853
1530,1.0,4067,5.83,4,16675,-0.40442816,0.001,0.15952107310295105,0.0001455853198422119,16574,-1.1299872398376465,0.003294307040050626
1540,1.0,4084,5.89,4,16742,-0.39755482000000003,0.001,0.15592142939567566,9.299180237576365e-05,16641,-0.41293656826019287,0.003310707863420248
1550,1.0,4099,5.87,4,16802,-0.3947336399999999,0.001,0.16244164109230042,0.00011864008411066607,16701,0.2414018213748932,0.0033377546351403
1560,1.0,4112,5.83,4,16856,-0.39363451,0.001,0.16186371445655823,8.067251474130899e-05,16755,-0.4844539165496826,0.0033881913404911757
1570,1.0,4126,5.83,4,16912,-0.3954562300000001,0.001,0.1605067253112793,8.028473530430347e-05,16811,0.19404444098472595,0.0033194131683558226
1580,1.0,4141,5.86,4,16971,-0.4052182200000001,0.001,0.15464778244495392,9.13818075787276e-05,16870,-0.07208843529224396,0.003368888283148408
1590,1.0,4157,5.92,4,17035,-0.41052015,0.001,0.14642097055912018,9.539767052046955e-05,16934,0.6579506397247314,0.0033518713898956776
1600,1.0,4173,6.0,4,17101,-0.41759527999999996,0.001,0.15447621047496796,8.504003926645964e-05,17000,0.9401460886001587,0.003369490848854184
1610,1.0,4188,6.05,4,17160,-0.41066593999999995,0.001,0.16117730736732483,0.00010351049422752112,17059,-0.21036756038665771,0.0032913361210376024
1620,1.0,4203,6.13,4,17222,-0.4239703,0.001,0.14991453289985657,0.00011315486335661262,17121,1.2261371612548828,0.003299738746136427
1630,1.0,4217,6.03,4,17278,-0.41998632,0.001,0.15616703033447266,8.971427450887859e-05,17177,0.12196457386016846,0.00340478727594018
1640,1.0,4231,5.89,4,17331,-0.41462452000000005,0.001,0.160659521818161,0.00011174418614245951,17230,0.6452187299728394,0.0033836625516414642
1650,1.0,4245,5.88,4,17390,-0.41400891,0.001,0.1684955507516861,0.00011807565169874579,17289,1.584625482559204,0.0034192281309515238
1660,1.0,4260,5.91,4,17447,-0.41819766,0.001,0.16160479187965393,0.00011404787073843181,17346,0.019330382347106934,0.0034077628515660763
1670,1.0,4275,5.96,4,17508,-0.42154379,0.001,0.14837273955345154,9.631983994040638e-05,17407,-0.36890605092048645,0.003376680426299572
1680,1.0,4288,5.92,4,17563,-0.4131724899999999,0.001,0.1456543505191803,9.71868503256701e-05,17462,-0.6273975968360901,0.003372086677700281
1690,1.0,4302,5.82,4,17617,-0.40563389,0.001,0.15920987725257874,9.41970429266803e-05,17516,0.04274025559425354,0.003321161027997732
1700,1.0,4317,5.77,4,17678,-0.3996142199999999,0.001,0.16622591018676758,9.633571607992053e-05,17577,-2.030148983001709,0.003325242782011628
1710,1.0,4332,5.79,4,17739,-0.4048157900000001,0.001,0.13629618287086487,8.801846706774086e-05,17638,-0.6875805258750916,0.0033267210237681866
1720,1.0,4348,5.8,4,17802,-0.39985933999999995,0.001,0.1473417431116104,8.099382830550894e-05,17701,0.24494166672229767,0.0033677511382848024
1730,1.0,4363,5.84,4,17862,-0.40346736000000005,0.001,0.1576414257287979,9.67439409578219e-05,17761,0.8932632207870483,0.0033515773247927427
1740,1.0,4379,5.96,4,17927,-0.40798316,0.001,0.13934248685836792,7.806788198649883e-05,17826,-0.33540910482406616,0.0034134192392230034
1750,1.0,4393,5.91,4,17981,-0.4124597,0.001,0.1550401896238327,7.721190922893584e-05,17880,0.5026546716690063,0.003399498760700226
1760,1.0,4407,5.91,4,18038,-0.41241799999999995,0.001,0.14928509294986725,8.056021761149168e-05,17937,-1.4969860315322876,0.0034740224946290255
1770,1.0,4421,5.85,4,18093,-0.40424270999999995,0.001,0.14117537438869476,8.974927186500281e-05,17992,-1.1632847785949707,0.0034644256811589003
1780,1.0,4434,5.83,4,18146,-0.40502066,0.001,0.15221042931079865,8.929264731705189e-05,18045,0.06808315217494965,0.003443039720878005
1790,1.0,4448,5.85,4,18202,-0.40771826000000005,0.001,0.14629065990447998,9.103397314902395e-05,18101,-0.028292536735534668,0.003490179544314742
1800,1.0,4462,5.81,4,18259,-0.4048125300000001,0.001,0.14457499980926514,7.467292016372085e-05,18158,0.4689461290836334,0.003483783220872283
1810,1.0,4476,5.76,4,18315,-0.40146111000000007,0.001,0.15914222598075867,8.016562787815928e-05,18214,0.9124815464019775,0.0034781694412231445
1820,1.0,4489,5.65,4,18367,-0.4015132899999999,0.001,0.14373382925987244,0.00010733697126852348,18266,-0.2955586910247803,0.0035121918190270662
1830,1.0,4505,5.68,4,18430,-0.4040949200000001,0.001,0.15701454877853394,9.293387120123953e-05,18329,0.014993757009506226,0.0034960207995027304
1840,1.0,4519,5.61,4,18488,-0.40354138999999994,0.001,0.15949001908302307,0.00011161407746840268,18387,1.570530891418457,0.0034687237348407507
1850,1.0,4534,5.68,4,18549,-0.40298997,0.001,0.15389487147331238,8.91591771505773e-05,18448,1.1478532552719116,0.003421948989853263
1860,1.0,4547,5.62,4,18600,-0.39569776999999995,0.001,0.1439283788204193,7.562284008599818e-05,18499,-0.06810441613197327,0.0034746287856251
1870,1.0,4561,5.65,4,18658,-0.40223249999999994,0.001,0.17210718989372253,6.709493754897267e-05,18557,1.1946519613265991,0.0034883678890764713
1880,1.0,4575,5.68,4,18714,-0.40770253000000006,0.001,0.13945899903774261,5.323887671693228e-05,18613,0.37108248472213745,0.0035178689286112785
1890,1.0,4589,5.69,4,18771,-0.41090245000000003,0.001,0.16707973182201385,6.733948248438537e-05,18670,0.4041624963283539,0.0035373892169445753
1900,1.0,4605,5.76,4,18835,-0.41630830999999996,0.001,0.13533741235733032,5.705900548491627e-05,18734,0.06928838789463043,0.003517991164699197
