#{"t_start": 1702307232.1340644, "env_id": "Ur3-Default-Reach-v0"}
r,l,t
-0.971426,12,633.959379
-0.792998,10,636.224615
-1.477911,15,639.728524
-1.223254,15,643.243992
-1.017047,11,645.759815
-1.621075,15,649.276967
-3.294506,25,655.294593
-1.252981,14,658.541294
-1.324589,13,661.544134
-1.823612,19,666.064788
-1.346096,13,669.080202
-1.141873,11,671.596105
-1.603447,11,674.11314
-0.480262,6,675.613129
-1.038719,9,677.630874
-1.342069,12,680.394291
-1.010058,12,683.165063
-1.478395,9,685.180584
-1.011487,12,687.948109
-0.919419,7,689.464065
-0.885611,11,691.98096
-1.641805,15,695.497675
-1.778428,14,698.76515
-2.306981,17,702.782328
-0.79342,8,704.478157
-0.907221,12,707.232783
-1.330558,13,710.132789
-0.532476,6,711.616816
-1.337926,14,714.833248
-1.11178,13,717.833039
-1.247214,15,721.345547
-1.260028,9,723.334097
-1.047335,11,725.850514
-1.624113,15,729.370769
-1.015782,9,731.386625
-0.752247,8,733.1572
-1.506261,12,735.91837
-0.963145,9,737.935992
-0.783469,10,740.20292
-0.733708,9,742.220005
-1.112429,9,744.237414
-1.35101,10,746.501171
-1.649856,16,750.212783
-2.137387,14,753.470024
-1.498165,17,757.488605
-0.719038,9,759.505305
-1.680088,17,763.421527
-0.609689,7,764.919473
-1.328369,15,768.438191
-1.008648,15,771.956047
-0.951116,7,773.471963
-1.553494,12,776.238971
-1.211084,14,779.507777
-1.562711,11,782.024716
-1.187688,12,784.772137
-1.115935,12,787.523845
-1.070556,9,789.538123
-1.053348,14,792.773443
-1.234494,17,796.791462
-1.160304,11,799.307243
-1.180077,11,801.824616
-2.364482,29,808.825781
-0.825207,9,810.843633
-1.169768,13,813.841998
-1.340007,18,818.092125
-1.086929,13,820.989313
-1.132646,13,823.995489
-0.972121,11,826.51026
-1.780638,16,830.242685
-0.978648,12,833.009183
-0.986371,9,835.028818
-0.87691,9,837.026204
-0.819795,11,839.545216
-1.190873,10,841.812021
-1.820003,15,845.329961
-0.757891,9,847.345208
-0.975667,11,849.844392
-1.114095,13,852.845944
-1.741539,22,858.112242
-0.878488,10,860.382014
-1.128678,11,862.897103
-0.755206,10,865.144177
-0.816439,8,866.874112
-1.323894,15,870.379962
-1.793772,15,873.878417
-1.174911,15,877.381819
-0.849556,9,879.400104
-1.448026,17,883.398308
-1.163856,14,886.668071
-1.723648,16,890.436722
-1.076593,14,893.699875
-1.339502,13,896.717207
-1.063162,17,900.716614
-1.085069,15,904.234717
-1.189745,14,907.50084
-0.84254,10,909.769379
-1.494033,15,913.201779
-0.884731,9,915.218589
-1.331969,12,917.985995
-2.384376,25,924.003585
-1.653668,19,928.520432
-0.826864,9,930.770953
-1.070413,10,933.036162
-0.971966,11,935.552689
-1.478897,17,939.553655
-1.096464,9,941.553972
-1.018531,12,944.286798
-0.937473,12,947.02154
-0.809903,12,949.788628
-0.798208,8,951.536021
-1.056926,16,955.289145
-0.887785,10,957.55706
-0.709409,8,959.323675
-0.796369,13,962.321385
-1.371527,14,965.557961
-1.898709,20,970.290451
-1.379021,19,974.791625
-1.220919,14,978.05797
-0.984099,9,980.058146
-0.818913,9,982.061152
-1.620219,18,986.327027
-1.282431,14,989.594515
-3.106178,33,997.56087
-0.746816,11,1000.06013
-1.836811,20,1004.811943
-3.595635,52,1017.563274
-1.048398,12,1020.31236
-0.753749,9,1022.331153
-1.410021,14,1025.59617
-2.307616,27,1032.079701
-1.265876,13,1035.098947
-1.063036,17,1039.114859
-2.170902,22,1044.380996
-2.318329,26,1050.583815
-3.416741,38,1059.832797
-4.106681,53,1072.849701
-0.986688,13,1075.868636
-2.514258,35,1084.368118
-3.379163,40,1094.353357
-1.830075,20,1099.119307
-0.814711,8,1100.851577
-0.782021,5,1101.868406
-0.841388,10,1104.120337
-0.838658,9,1106.138452
-0.34739,5,1107.371608
-1.308935,18,1111.619828
-1.591007,17,1115.621509
-0.858119,10,1117.884888
-0.917685,16,1121.638315
-1.461727,20,1126.338655
-0.79438,11,1128.854893
-3.949051,50,1141.106828
-1.120896,17,1145.357619
-2.847918,48,1157.111306
-5.138874,100,1182.044814
-7.892327,100,1207.047867
-0.84409,15,1210.797643
-1.120926,17,1215.048878
-6.163906,100,1240.050691
-1.340577,25,1246.067586
-5.74358,100,1271.020056
-2.659425,71,1288.771517
-5.555412,100,1313.757092
-1.024958,23,1319.491027
-0.98324,17,1323.741284
-5.074863,100,1348.644231
-4.454475,100,1373.630512
-2.131288,44,1384.548144
-6.633574,100,1409.549136
-1.554331,37,1418.80227
-0.447859,8,1420.801348
-0.784526,13,1424.034745
-0.898589,15,1427.784803
-2.197802,45,1439.019203
-5.390407,100,1463.971803
-4.973833,100,1488.824137
-4.378681,100,1513.658938
-4.072257,100,1538.61193
-4.024108,100,1563.547846
-3.790948,100,1588.533502
-1.450551,31,1596.285005
-3.013449,90,1618.769958
-0.488974,8,1620.770186
-1.274995,35,1629.521331
-1.940206,41,1639.73855
-4.04324,100,1664.741401
-0.705298,10,1667.008732
-2.49264,70,1684.509808
-0.913055,14,1688.010423
-0.545122,7,1689.760036
-3.519734,100,1714.745917
-0.898692,19,1719.496377
-0.567164,6,1720.997625
-3.79342,100,1745.982374
-0.713923,12,1748.982964
-4.271495,100,1773.985676
-1.126077,21,1779.235621
-3.925279,84,1800.23771
-0.509785,13,1803.487991
-3.187767,80,1823.489852
-1.071804,37,1832.740724
-0.796636,21,1837.974832
-1.07592,27,1844.725247
-0.422486,5,1845.975765
-2.517239,66,1862.460129
-0.57757,14,1865.960983
-0.67807,7,1867.710343
-0.607526,13,1870.961195
-0.277397,5,1872.211489
-0.632072,19,1876.962019
-3.540605,100,1901.880113
-0.668077,21,1907.098232
-3.320217,100,1932.06583
-0.423452,11,1934.817628
-0.595267,16,1938.81763
-0.941014,20,1943.751451
-0.905523,22,1949.251745
-1.825792,55,1963.004485
-2.142371,59,1977.75436
-4.082892,100,2002.74021
-3.670161,100,2027.742693
-0.437004,9,2029.992425
-0.798481,19,2034.743318
-1.405298,38,2044.242043
-3.549535,100,2069.113517
-0.904457,20,2074.113873
-1.42373,38,2083.565782
-0.830858,29,2090.782232
-0.406917,8,2092.782225
-0.646401,15,2096.533005
-0.366181,5,2097.782823
-0.668352,12,2100.782987
-0.588154,12,2103.748301
-0.350492,7,2105.466842
-4.048305,100,2130.435841
-0.380848,7,2132.186153
-0.641031,16,2136.120538
-0.436532,9,2138.37017
-3.120369,100,2163.288538
-0.709371,11,2166.039712
-2.073165,72,2184.041569
-0.543892,12,2186.990358
-0.605579,18,2191.475337
-0.895753,23,2197.19208
-0.764726,23,2202.943468
-1.166553,34,2211.427069
-0.708981,20,2216.427603
-0.810359,19,2221.177579
-0.300951,5,2222.428275
