rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/success_rate,time/episodes,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
-1.3541466999999998,5,12,64,6.4,0.0,10,,,,
-1.8323774499999999,4,39,181,9.05,0.0,20,0.001,0.0015308025060221553,0.049940106769402824,84
-1.7465788999999998,4,64,295,9.833333333333334,0.0,30,0.001,0.0012738282093778253,0.05112375194827715,198
-1.4520735999999999,4,71,335,8.375,0.0,40,0.001,0.0012990570394322276,0.0653899647295475,239
-1.2874670000000001,4,79,375,7.5,0.0,50,0.001,0.0011501832050271332,0.06184507720172405,279
-1.1854279166666666,4,86,417,6.95,0.0,60,0.001,0.0008433344046352431,0.07087681256234646,321
-1.110255242857143,4,94,459,6.557142857142857,0.0,70,0.001,0.0006196581962285563,0.08249335363507271,363
-1.0556155125,4,103,506,6.325,0.0,80,0.001,0.00044093149481341245,0.0818353109061718,409
-1.0290558555555558,4,113,557,6.188888888888889,0.0,90,0.001,0.0004463914199732244,0.08201523497700691,459
-1.0213166099999997,4,129,632,6.32,0.0,100,0.001,0.00038499812362715604,0.08854626417160034,530
-0.97858538,4,148,720,6.56,0.0,110,0.001,0.0003738300583790988,0.09206177666783333,621
-0.8285700799999998,4,162,788,6.07,0.0,120,0.001,0.0005250045588971781,0.09733458608388901,689
-0.7493521700000001,4,177,860,5.65,0.0,130,0.001,0.00036244068178348243,0.1038165558129549,760
-0.7637428799999999,4,191,926,5.91,0.0,140,0.001,0.0005802100175060331,0.10474208369851112,827
-0.7743544499999999,4,204,993,6.18,0.0,150,0.001,0.0004522116214502603,0.1170680398742358,893
-0.770539,4,219,1064,6.47,0.0,160,0.001,0.00036493592051556334,0.12345167249441147,965
-0.7695105499999998,4,234,1135,6.76,0.0,170,0.001,0.0003866345214191824,0.12293044105172157,1036
-0.76657004,4,248,1205,6.99,0.0,180,0.001,0.00031965484959073365,0.13500475510954857,1106
-0.75592011,4,261,1269,7.12,0.0,190,0.001,0.0003231901966501027,0.1347915381193161,1170
-0.71854008,4,275,1334,7.02,0.01,200,0.001,0.0003459322712539385,0.14432354271411896,1238
-0.6959370799999999,4,288,1396,6.76,0.01,210,0.001,0.0004049918716191314,0.1355651095509529,1299
-0.6821234199999999,4,301,1462,6.74,0.01,220,0.001,0.000507503654807806,0.14799116055170694,1364
-0.66957529,4,315,1527,6.67,0.01,230,0.001,0.0004891546959697735,0.14859341457486153,1429
-0.65912083,4,329,1594,6.68,0.01,240,0.001,0.00041366744387362687,0.16072578355669975,1496
-0.64210583,4,341,1657,6.64,0.01,250,0.001,0.0004955024924129248,0.15941493958234787,1559
-0.64163301,4,355,1722,6.58,0.02,260,0.001,0.0004670931666623801,0.15905936062335968,1623
-0.63396273,4,368,1785,6.5,0.03,270,0.001,0.0005641572892532817,0.1689484342932701,1686
-0.63076411,4,380,1846,6.41,0.03,280,0.001,0.0005808526891217168,0.1770266443490982,1748
-0.63418188,4,393,1910,6.41,0.03,290,0.001,0.000635221617163292,0.17551164825757345,1811
-0.6359552799999999,4,406,1970,6.36,0.02,300,0.001,0.0007430311583448201,0.19399388879537582,1871
-0.61791904,4,419,2037,6.41,0.02,310,0.001,0.000684274684837354,0.1733963837226232,1939
-0.61057035,4,433,2103,6.41,0.02,320,0.001,0.0006962364035037657,0.1786091923713684,2003
-0.60822337,4,448,2173,6.46,0.02,330,0.001,0.0008043544782724764,0.18719519674777985,2074
-0.60995105,4,461,2238,6.44,0.02,340,0.001,0.0009298546588979662,0.18905741721391678,2139
-0.61841276,4,474,2302,6.45,0.02,350,0.001,0.0008629779913462698,0.1958591304719448,2204
-0.6230473799999999,4,488,2372,6.5,0.01,360,0.001,0.0008780113837149527,0.19556417067845663,2273
-0.61915513,4,501,2435,6.5,0.0,370,0.001,0.0010359302978031337,0.20195510983467102,2336
-0.61244607,4,513,2494,6.48,0.0,380,0.001,0.0008261509501608089,0.1970103457570076,2395
-0.6057619500000001,4,526,2558,6.48,0.0,390,0.001,0.0008389458176679909,0.19518838822841644,2461
-0.6086134299999999,4,541,2627,6.57,0.0,400,0.001,0.0008117603054935378,0.2080891989171505,2528
-0.6255763000000001,4,554,2694,6.57,0.0,410,0.001,0.0008676015771925449,0.21238191425800323,2595
-0.6264211799999999,4,568,2759,6.56,0.0,420,0.001,0.0009154977326813553,0.21783208847045898,2660
-0.63533389,4,582,2830,6.57,0.0,430,0.001,0.000863228109665215,0.2127992312113444,2731
-0.64218033,4,596,2896,6.58,0.0,440,0.001,0.0009121536360388356,0.20792291313409805,2796
-0.63925506,4,609,2961,6.59,0.0,450,0.001,0.0009832803126690643,0.21984776481986046,2862
-0.62387849,4,622,3023,6.51,0.0,460,0.001,0.000816515483893454,0.21164529025554657,2924
-0.6235864,4,635,3089,6.54,0.0,470,0.001,0.0010666280785309418,0.22478162745634714,2993
-0.62545075,4,649,3157,6.63,0.0,480,0.001,0.0013442592878293777,0.21718831360340118,3058
-0.60937171,4,663,3223,6.65,0.02,490,0.001,0.0009997236775234342,0.22503477334976196,3127
-0.6020556499999999,4,678,3292,6.65,0.04,500,0.001,0.0011546187867809618,0.23455146451791128,3193
-0.5899388,4,693,3363,6.69,0.04,510,0.001,0.0012300480157136917,0.2315616508324941,3263
-0.58533431,4,708,3436,6.77,0.04,520,0.001,0.0014071678909073984,0.24228009209036827,3336
-0.56875698,4,723,3507,6.77,0.04,530,0.001,0.001427035845283951,0.24461662769317627,3408
