time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
5008,1200,8.6,0.06,-0.7620246000000002,4,770,0.0012761869046908731,4903,0.7655209302902222,0.001
5115,1227,8.72,0.05,-0.7781172,4,780,0.001051746410666965,5006,0.7615088075399399,0.001
5208,1250,8.84,0.05,-0.79503147,4,790,0.0014245720958570018,5104,0.7821589484810829,0.001
5277,1267,8.76,0.06,-0.7967012699999999,4,800,0.0009994768902701749,5174,0.7759401202201843,0.001
5666,1372,11.87,0.06,-1.0427907799999998,4,810,0.0014050408848561347,5554,0.727997628847758,0.001
6135,1499,15.76,0.07,-1.2911935300000001,4,820,0.0010852022904954436,6030,0.7049952414300706,0.001
6492,1595,18.5,0.11,-1.42103542,4,830,0.0011454776067694183,6392,0.678974337875843,0.001
6773,1671,20.46,0.17,-1.4956335599999997,4,840,0.0012685918447780697,6669,0.6423253977999968,0.001
7301,1815,24.93,0.21,-1.6791208499999999,4,850,0.001510294891583423,7199,0.5762094259262085,0.001
7611,1899,27.04,0.26,-1.7415430300000003,4,860,0.0015338818193413317,7511,0.5357161045074463,0.001
7695,1921,26.87,0.35,-1.71312526,4,870,0.0009772847290150822,7592,0.5242868781089782,0.001
7860,1966,27.45,0.45,-1.70669184,3,880,0.0011780903910332155,7736,0.5009074040302416,0.001
8058,2020,28.5,0.54,-1.7178680400000002,3,890,0.0012539528349104028,7953,0.45132316648960114,0.001
8259,2074,29.82,0.6,-1.7374782400000002,3,900,0.0011235769003784906,8154,0.42013227939605713,0.001
8341,2097,26.75,0.69,-1.4830797800000002,3,910,0.000707095704274252,8236,0.40731278657913206,0.001
