#{"t_start": 1706593095.2955616, "env_id": "AbbIrb120-Default-Reach-v0"}
r,l,t
-0.809164,9,448.984782
-0.634539,7,450.434865
-1.036358,10,452.56835
-1.011583,10,454.718479
-1.01348,10,456.885343
-1.18252,10,459.05213
-0.533896,6,460.516284
-1.132251,9,462.682993
-0.982316,10,464.835956
-0.990787,10,466.985506
-0.951615,9,468.918957
-1.224713,9,470.83627
-0.944232,10,472.986397
-1.09304,10,475.136586
-1.520025,10,477.253437
-0.974218,10,479.403533
-1.007067,10,481.553785
-1.136197,10,483.720378
-0.894138,10,485.872731
-1.020972,10,488.017649
-0.949825,10,490.187702
-1.061139,11,492.571234
-0.952966,11,494.954724
-1.016566,10,497.104899
-0.926262,8,498.788366
-1.297239,10,500.938077
-0.984482,10,503.088729
-1.049586,10,505.238868
-1.122482,10,507.405282
-1.071303,11,509.789239
-1.271667,11,512.172674
-1.168243,10,514.322811
-1.000746,11,516.706374
-1.054209,11,519.106507
-1.391035,14,522.206788
-1.355831,10,524.373654
-1.224636,9,526.290421
-1.659764,10,528.440626
-3.792321,33,535.957921
-1.219224,9,538.024198
-4.040088,34,545.774799
-7.316134,100,569.307513
-3.020133,31,576.860874
-10.006421,100,600.325297
-10.685773,100,624.194754
-1.325454,10,626.864601
-11.490596,93,648.349667
-1.563442,11,651.233207
-0.834472,9,653.167056
-1.124432,10,655.297136
-0.78708,9,657.15028
-8.510329,100,680.532014
-6.265517,100,704.351088
-8.379017,100,728.236161
-1.170241,40,738.155037
-7.387544,100,761.705429
-0.992597,13,765.10831
-7.166427,100,788.524243
-5.675698,100,812.225976
-1.68818,37,821.410037
-6.285601,100,844.894541
-4.915911,100,868.781918
-1.066667,31,876.547093
-0.796361,15,880.197587
-2.957701,100,903.615527
-4.895689,100,927.567509
-3.919879,100,951.402579
-4.380489,100,975.30453
-4.571932,100,999.189539
-3.29898,100,1022.956725
-0.710271,9,1025.557962
-0.813388,7,1027.241653
-7.371675,100,1050.560091
-8.838306,100,1074.211602
-2.728623,50,1086.215749
-4.046273,100,1109.665108
-4.608406,100,1133.532752
-3.629515,100,1157.301315
-4.539451,100,1181.035475
-0.544047,9,1183.719903
-3.418225,100,1207.037941
-1.674026,37,1216.040968
-1.763065,43,1226.256836
-1.426196,23,1231.726126
-3.521581,100,1255.191742
-0.869063,25,1261.458893
-2.902146,100,1284.928181
-1.394767,22,1290.678021
-0.538932,10,1293.144818
-2.95255,100,1316.496135
-0.917432,8,1318.962961
-0.633304,11,1321.580271
-0.752464,9,1323.747765
-0.854582,9,1325.914103
-3.264401,100,1349.265333
-0.895234,8,1351.749735
-0.933382,8,1353.665742
-1.427756,40,1363.049774
-4.329682,100,1386.620503
-0.543941,8,1389.10452
-0.551019,10,1391.488181
-0.699559,9,1393.654908
-0.649482,11,1396.272341
-1.042642,12,1399.140342
-0.985188,12,1402.006545
-3.404959,100,1425.343524
-0.791468,17,1429.911057
-0.709876,7,1431.628282
-0.702677,14,1434.928804
-1.166932,9,1437.112395
-0.84532,8,1439.029398
-1.602847,41,1448.417003
-0.663767,7,1450.297885
-0.520049,7,1451.981282
-0.854078,8,1453.881781
-0.417701,8,1455.798805
-2.961867,100,1479.101629
-3.960102,100,1503.005982
-0.553683,7,1505.256638
-3.305507,100,1528.56062
-7.747066,100,1552.413853
-0.584561,10,1555.314263
-0.688566,12,1558.131861
-0.42167,9,1560.298654
-3.460747,100,1583.66907
-0.411426,7,1585.885827
-1.768566,54,1598.454011
-1.759159,19,1602.973909
-0.573843,7,1604.721372
-1.190386,11,1607.339095
-1.178817,23,1612.755974
-0.453485,9,1614.989573
-0.575493,8,1616.906522
-4.378474,100,1640.29293
-4.216909,100,1664.213212
-3.295265,100,1688.116258
-3.41887,100,1712.052953
-0.486295,9,1714.769874
-3.181193,89,1735.572713
-0.913534,10,1738.439599
-3.46696,100,1761.759167
-2.721752,100,1785.578734
-2.830245,100,1809.481638
-0.411241,6,1811.482127
-0.559482,8,1813.382282
-1.276174,12,1816.232591
-1.502833,64,1831.234644
-0.675749,7,1833.251462
-0.588701,12,1836.101686
-2.276153,76,1853.904094
