time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
501,4,270,2353,9.49,-1.0465408900000002,0.02,2265,0.5877811670303345,0.0012282299110665917,0.001
524,4,280,2460,9.56,-1.0664475,0.02,2372,0.6023146390914917,0.0010062778278047012,0.001
647,4,290,2981,13.79,-1.5006943300000004,0.01,2892,0.6219439823576745,0.001294772910525001,0.001
784,4,300,3562,18.62,-1.8194586399999997,0.02,3384,0.64725261926651,0.0018020609948927392,0.001
971,4,310,4345,25.54,-2.0671420000000005,0.05,4167,0.6678177571296692,0.001696411487646401,0.001
1153,4,320,5111,32.27,-2.36042977,0.07,4933,0.6788623225688935,0.0016803081834223122,0.001
1286,4,330,5670,36.95,-2.47999038,0.11,5570,0.6791471242904663,0.0015963982080575078,0.001
1359,4,340,5973,39.07,-2.5174039099999996,0.19,5855,0.676811471581459,0.003918594433343969,0.001
1427,4,350,6259,41.04,-2.56504508,0.26,6174,0.6473882463243272,0.0028987539219943914,0.001
1499,4,360,6561,43.08,-2.59375638,0.33,6383,0.6415268445014953,0.003512457562610507,0.001
1599,4,370,6979,46.26,-2.69923414,0.39,6882,0.6024923103827017,0.0038605562920026757,0.001
1710,4,380,7446,49.86,-2.7737133499999995,0.45,7359,0.5713478875160217,0.00432017588056624,0.001
1829,4,390,7942,49.61,-2.40450912,0.52,7857,0.5322472332045436,0.004475261397601571,0.001
1898,4,400,8231,46.69,-2.10566607,0.6,8142,0.5221270322799683,0.004699410143075511,0.001
1931,4,410,8372,40.27,-1.81815554,0.66,8287,0.519155826833513,0.004534258727768534,0.001
1996,4,420,8642,35.31,-1.5263035200000001,0.72,8557,0.5192515105009079,0.00351582610164769,0.001
2045,4,430,8848,31.78,-1.3998974299999998,0.77,8764,0.4675166110197703,0.003483770570407311,0.001
2066,4,440,8938,29.65,-1.3326686899999998,0.79,8852,0.4817836880683899,0.004723206628113985,0.001
2087,4,450,9025,27.66,-1.2777681099999998,0.81,8931,0.4369090124964714,0.004096757649676874,0.001
2110,4,460,9124,25.63,-1.22174663,0.84,9038,0.4558240969975789,0.005170257218802969,0.001
2151,4,470,9293,23.14,-1.1138308099999998,0.86,9212,0.43340111523866653,0.00438313398626633,0.001
2171,4,480,9379,19.33,-0.9875499699999999,0.89,9284,0.4403878375887871,0.0052414812546755585,0.001
2191,4,490,9464,15.22,-0.88306856,0.92,9370,0.4418576508760452,0.004895894389067378,0.001
2211,4,500,9548,13.17,-0.8236541499999999,0.93,9464,0.43328354756037396,0.004592381029700239,0.001
2262,4,510,9759,13.87,-0.84924464,0.93,9673,0.41805620726786163,0.004636728137388434,0.001
2279,4,520,9831,11.89,-0.7995303400000001,0.95,9743,0.3734389543533325,0.004785851475649646,0.001
2298,4,530,9911,10.63,-0.7829030400000001,0.96,9826,0.4062435746192932,0.004613803140819073,0.001
2317,4,540,9991,10.53,-0.7847187000000001,0.96,9908,0.4015146366187504,0.004462708092222993,0.001
2343,4,550,10101,10.76,-0.7855301599999999,0.96,10008,0.39914466738700866,0.004446376140953766,0.001
2360,4,560,10171,10.47,-0.7726019700000001,0.96,10087,0.4125262002150218,0.0046513596815722326,0.001
2376,4,570,10238,9.45,-0.7286144099999998,0.98,10152,0.38826984167099,0.0047571745494173635,0.001
2397,4,580,10325,9.46,-0.74086034,0.99,10240,0.38486012319723767,0.004698075994383544,0.001
2421,4,590,10429,9.65,-0.74821004,0.99,10344,0.3683305084705353,0.004485572222620249,0.001
2443,4,600,10520,9.72,-0.7605592299999999,0.99,10426,0.3791112502415975,0.004554988467134535,0.001
2462,4,610,10601,8.42,-0.7380199299999998,0.99,10514,0.37637579441070557,0.0046029455261304975,0.001
2481,4,620,10682,8.51,-0.7438537800000001,0.99,10594,0.35039645433425903,0.004687605192884803,0.001
2499,4,630,10756,8.45,-0.73247759,0.99,10673,0.34180663526058197,0.0044009620789438484,0.001
2516,4,640,10828,8.37,-0.72749791,0.99,10745,0.35519489645957947,0.0043849165085703135,0.001
2535,4,650,10907,8.06,-0.7219579,0.99,10820,0.35691802501678466,0.004290527058765292,0.001
2552,4,660,10977,8.06,-0.7214635,0.99,10891,0.3376537561416626,0.003980868762092931,0.001
2568,4,670,11047,8.09,-0.73268303,0.99,10961,0.32840481400489807,0.004417274646194918,0.001
2589,4,680,11134,8.09,-0.7265351599999998,0.99,11043,0.333345502614975,0.003980002266221813,0.001
2606,4,690,11205,7.76,-0.7202820400000002,0.98,11120,0.3285961002111435,0.004213191801682115,0.001
2624,4,700,11283,7.63,-0.7060799700000001,0.98,11196,0.309038370847702,0.004013109453288572,0.001
2642,4,710,11357,7.56,-0.7059398599999999,0.99,11273,0.3151843026280403,0.0043475764493147535,0.001
2657,4,720,11422,7.4,-0.7015015099999999,0.99,11337,0.3298635085423787,0.004347580751138074,0.001
2674,4,730,11492,7.36,-0.70060197,0.99,11407,0.3150276839733124,0.0037564778700470924,0.001
2691,4,740,11564,7.36,-0.7159869999999999,0.99,11480,0.33211809396743774,0.0032685401771838465,0.001
2709,4,750,11636,7.29,-0.7169652299999999,0.99,11553,0.316082663834095,0.004098939651157707,0.001
2726,4,760,11708,7.31,-0.7245699300000001,0.99,11625,0.2986649513244629,0.0037718444131314755,0.001
2743,4,770,11779,7.32,-0.73101221,0.99,11694,0.2898221015930176,0.003521944337990135,0.001
2758,4,780,11843,7.09,-0.7162697299999998,0.99,11759,0.29094742983579636,0.0038494241630865466,0.001
2773,4,790,11909,7.04,-0.6984671899999999,1.0,11826,0.281678428252538,0.003296688012778759,0.001
2790,4,800,11980,6.97,-0.7065632099999999,1.0,11895,0.2769156793753306,0.003351392224431038,0.001
2809,4,810,12058,7.01,-0.7087298,1.0,11972,0.2645496328671773,0.003765278922704359,0.001
2826,4,820,12127,7.05,-0.7090273899999999,1.0,12043,0.2823289732138316,0.0033433547110429834,0.001
2845,4,830,12208,7.16,-0.7073083099999998,1.0,12122,0.2761616662144661,0.0034801391302607954,0.001
2861,4,840,12275,7.11,-0.6892831599999998,1.0,12190,0.2787504394849141,0.0033211488043889403,0.001
2877,4,850,12344,7.08,-0.68063735,1.0,12261,0.27775150537490845,0.0035223803327729306,0.001
2895,4,860,12419,7.11,-0.6950255300000001,1.0,12333,0.2687568888068199,0.003193311596987769,0.001
2911,4,870,12486,7.07,-0.6826381499999999,1.0,12402,0.26329564303159714,0.0029187775549611877,0.001
2929,4,880,12559,7.16,-0.6943129400000001,1.0,12472,0.2626275196671486,0.003189101495081559,0.001
2944,4,890,12622,7.13,-0.69827629,1.0,12536,0.26252331336339313,0.0033065628726035357,0.001
2959,4,900,12686,7.06,-0.6796060199999998,1.0,12602,0.26098066568374634,0.0028916052875242065,0.001
