time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/success_rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss
48,10,4.8,0.0,5,-1.296524,9,,,,,,
111,20,5.55,0.0,5,-1.5560557499999998,22,0.001,10,0.09019657224416733,0.99103844165802,-0.04543232545256615,-3.85603928565979
166,30,5.533333333333333,0.0,4,-1.5572110666666668,33,0.001,65,0.05123553425073624,0.9379892945289612,-0.32272931933403015,-3.66257381439209
236,40,5.9,0.0,4,-1.698071075,49,0.001,135,0.026159077882766724,0.8745130896568298,-0.6765246391296387,-3.7086472511291504
304,50,6.08,0.0,4,-1.7451621400000001,64,0.001,203,0.016936421394348145,0.8169710636138916,-1.018244981765747,-3.81614089012146
361,60,6.016666666666667,0.0,4,-1.7042466666666667,77,0.001,260,0.028435811400413513,0.7716960310935974,-1.305370807647705,-3.876802921295166
445,70,6.357142857142857,0.0,4,-1.7287216285714289,96,0.001,344,0.020792491734027863,0.709504246711731,-1.7296723127365112,-4.008962631225586
531,80,6.6375,0.0,4,-1.7883602875000002,115,0.001,430,0.014174072071909904,0.6510241627693176,-2.1706292629241943,-4.129558563232422
556,90,6.177777777777778,0.0,4,-1.6790779444444446,120,0.001,455,0.014132008887827396,0.6349529027938843,-2.2871856689453125,-4.125417232513428
617,100,6.17,0.0,4,-1.67896204,133,0.001,516,0.00885184109210968,0.5973686575889587,-2.602445125579834,-4.201717376708984
657,110,6.09,0.0,4,-1.6769755100000001,141,0.001,556,0.009256917983293533,0.5739447474479675,-2.8019819259643555,-4.247124671936035
737,120,6.26,0.0,4,-1.7016013899999998,159,0.001,636,0.011462396942079067,0.5298110246658325,-3.190680980682373,-4.332539081573486
784,130,6.18,0.0,4,-1.6736032899999997,169,0.001,683,0.008095916360616684,0.5054808855056763,-3.4536566734313965,-4.346861839294434
881,140,6.45,0.0,4,-1.70858589,191,0.001,780,0.007321730721741915,0.4587544798851013,-3.9455275535583496,-4.384173393249512
959,150,6.55,0.0,4,-1.7393166299999998,209,0.001,858,0.0066017648205161095,0.4243401885032654,-4.331756591796875,-4.4053544998168945
1002,160,6.41,0.0,4,-1.71325645,218,0.001,901,0.004787887446582317,0.40649524331092834,-4.5416436195373535,-4.376960754394531
1063,170,6.18,0.0,4,-1.7102024799999997,231,0.001,962,0.008220243267714977,0.3824448883533478,-4.8474345207214355,-4.3533616065979
1122,180,5.91,0.0,4,-1.6679106400000003,244,0.001,1021,0.006720484234392643,0.36056002974510193,-5.130930423736572,-4.375250816345215
1203,190,6.47,0.0,4,-1.80353453,263,0.001,1102,0.0037608053535223007,0.3325408399105072,-5.534054279327393,-4.316193580627441
1262,200,6.45,0.0,4,-1.8124902000000003,276,0.001,1161,0.007572805508971214,0.3135293126106262,-5.841067314147949,-4.3061981201171875
1330,210,6.73,0.0,4,-1.8794839499999998,291,0.001,1229,0.004335962701588869,0.2929718494415283,-6.176982879638672,-4.275313377380371
1393,220,6.56,0.0,4,-1.83910901,304,0.001,1292,0.0066878534853458405,0.2751200795173645,-6.469149589538574,-4.230851650238037
1457,230,6.73,0.0,4,-1.8903395799999998,318,0.001,1356,0.0038112427573651075,0.2581290900707245,-6.763238906860352,-4.204190254211426
1584,240,7.03,0.0,4,-1.9634238400000001,348,0.001,1483,0.004325235262513161,0.22750410437583923,-7.360783100128174,-4.079949378967285
1656,250,6.97,0.0,4,-1.92927931,365,0.001,1555,0.004023647867143154,0.211818665266037,-7.713530540466309,-4.021542072296143
1721,260,7.19,0.0,4,-1.98352128,379,0.001,1620,0.002766475547105074,0.19861561059951782,-7.971268653869629,-3.9412364959716797
1768,270,7.05,0.0,4,-1.9308691199999999,389,0.001,1667,0.0026729379314929247,0.18960070610046387,-8.23175048828125,-3.9187655448913574
1823,280,7.01,0.0,4,-1.89624722,401,0.001,1722,0.0022525747772306204,0.17959284782409668,-8.365091323852539,-3.9245104789733887
1923,290,7.2,0.0,4,-1.9305727400000001,424,0.001,1822,0.0019548353739082813,0.16279922425746918,-8.847980499267578,-3.7570958137512207
2020,300,7.58,0.0,4,-1.9707635099999996,446,0.001,1919,0.002190389670431614,0.14810404181480408,-9.197858810424805,-3.6590723991394043
2078,310,7.48,0.0,4,-1.9114171100000001,459,0.001,1977,0.0024645815137773752,0.14000959694385529,-9.60727310180664,-3.628042221069336
2157,320,7.64,0.0,4,-1.9271089499999996,477,0.001,2056,0.0032891249284148216,0.12975764274597168,-9.984825134277344,-3.5289580821990967
2250,330,7.93,0.0,4,-1.9285792799999997,499,0.001,2149,0.00277263717725873,0.11876239627599716,-9.962776184082031,-3.4895918369293213
2336,340,7.52,0.0,4,-1.7711704700000002,520,0.001,2235,0.002983860205858946,0.10953996330499649,-10.240569114685059,-3.355236530303955
2408,350,7.52,0.0,4,-1.71854591,537,0.001,2307,0.002196731511503458,0.10245104879140854,-10.067279815673828,-3.2898192405700684
2471,360,7.5,0.0,4,-1.6639887500000006,551,0.001,2370,0.0024008643813431263,0.09671639651060104,-10.26002311706543,-3.2685658931732178
2541,370,7.73,0.0,4,-1.66829074,567,0.001,2440,0.0024073561653494835,0.09078915417194366,-10.001654624938965,-3.1505846977233887
2642,380,8.19,0.0,4,-1.69445568,590,0.001,2541,0.0022677818778902292,0.08303128927946091,-10.582202911376953,-3.0947840213775635
2711,390,7.88,0.0,4,-1.5848443,606,0.001,2610,0.002560457680374384,0.07818000763654709,-10.255447387695312,-3.054271697998047
2784,400,7.64,0.0,4,-1.4964098499999998,624,0.001,2683,0.002865059766918421,0.07347771525382996,-10.535999298095703,-3.001871109008789
2860,410,7.82,0.0,4,-1.5086637500000004,641,0.001,2759,0.0025223882403224707,0.06896156072616577,-10.092979431152344,-2.9284517765045166
2932,420,7.75,0.0,4,-1.4352844299999998,658,0.001,2831,0.004371813498437405,0.06501676142215729,-9.777068138122559,-2.853172779083252
3009,430,7.59,0.0,4,-1.3725945000000004,675,0.001,2908,0.002301750937476754,0.061092160642147064,-9.546049118041992,-2.823859691619873
3128,440,7.92,0.0,4,-1.3648439700000004,703,0.001,3027,0.0023044354747980833,0.055619459599256516,-9.658390045166016,-2.824467658996582
3189,450,7.81,0.0,4,-1.3272030999999997,717,0.001,3088,0.0023719395976513624,0.053060632199048996,-9.516468048095703,-2.719392776489258
3295,460,8.24,0.0,4,-1.3511005700000005,742,0.001,3194,0.0027032895013689995,0.04895574599504471,-9.540736198425293,-2.731144428253174
3379,470,8.38,0.0,4,-1.34475962,761,0.001,3278,0.002136365044862032,0.0459793284535408,-9.778131484985352,-2.6800036430358887
3445,480,8.03,0.0,4,-1.27640119,777,0.001,3344,0.001924970536492765,0.0437910258769989,-9.842903137207031,-2.6194467544555664
3556,490,8.45,0.0,4,-1.2833794199999997,803,0.001,3455,0.0020863411482423544,0.04038899019360542,-9.053723335266113,-2.591348171234131
3656,500,8.72,0.0,4,-1.2841130900000002,826,0.001,3555,0.0021601903717964888,0.03757878765463829,-9.015265464782715,-2.5371499061584473
3796,510,9.36,0.0,4,-1.30969852,859,0.001,3695,0.0019292853539809585,0.03398581221699715,-9.738771438598633,-2.4708757400512695
3880,520,9.48,0.0,4,-1.33038702,878,0.001,3779,0.002332699950784445,0.03200199827551842,-8.714346885681152,-2.416992664337158
3961,530,9.52,0.0,4,-1.3319298199999998,897,0.001,3860,0.0017032335745170712,0.030183320865035057,-9.17399787902832,-2.4049766063690186
4036,540,9.08,0.0,4,-1.2813845000000001,914,0.001,3935,0.0024456449318677187,0.028587397187948227,-9.664388656616211,-2.3859806060791016
4144,550,9.55,0.0,4,-1.3279907599999998,940,0.001,4043,0.0021300094667822123,0.026463281363248825,-8.456480979919434,-2.2222414016723633
4271,560,9.76,0.0,4,-1.32840452,969,0.001,4170,0.0022948780097067356,0.024120714515447617,-9.353374481201172,-2.2128186225891113
4337,570,9.58,0.0,4,-1.30310522,985,0.001,4236,0.0015227367402985692,0.02296978235244751,-10.024080276489258,-2.176928997039795
4524,580,10.79,0.0,4,-1.4123507599999998,1029,0.001,4423,0.0020468994043767452,0.01996701955795288,-8.671586990356445,-2.0200300216674805
4691,590,11.35,0.0,4,-1.4356653200000002,1070,0.001,4590,0.0014762612991034985,0.017613986507058144,-9.449824333190918,-1.88016676902771
4814,600,11.58,0.01,4,-1.4157953900000004,1100,0.001,4713,0.0015276737976819277,0.016061708331108093,-8.27560806274414,-1.8043186664581299
4967,610,11.71,0.02,4,-1.41043567,1137,0.001,4866,0.0018180131446570158,0.014370235614478588,-10.359435081481934,-1.722550630569458
5357,620,14.77,0.05,4,-1.6042004999999997,1234,0.001,5256,0.00104400678537786,0.01088174618780613,-7.717436790466309,-1.4529216289520264
5769,630,18.08,0.06,4,-1.7892799099999996,1336,0.001,5668,0.0010201920522376895,0.008382435888051987,-7.176987648010254,-1.1721515655517578
6356,640,23.2,0.09,4,-2.03277494,1482,0.001,6255,0.0008448776789009571,0.005986393429338932,-3.3791186809539795,-0.8364685773849487
6856,650,27.12,0.14,4,-2.1622723600000002,1607,0.001,6755,0.0025420901365578175,0.004693818278610706,-3.027337074279785,-0.5772784948348999
7298,660,30.27,0.18,4,-2.2776358400000003,1717,0.001,7197,0.0025944996159523726,0.003957073669880629,-2.0434699058532715,-0.3746442198753357
