#{"t_start": 1704346777.0346754, "env_id": "Ur3-Collision-Free-Reach-v0"}
r,l,t
-1.14494,5,356.666777
-5.022481,23,362.182994
-0.601537,2,362.449887
-1.412968,4,363.217554
-0.653534,2,363.486466
-1.83749,8,365.250993
-0.598208,2,365.518665
-2.056527,7,367.267694
-1.663496,6,368.767745
-0.556542,2,369.03241
-2.853344,15,372.551479
-2.073732,7,374.068348
-1.491307,4,374.835012
-0.653074,2,375.103772
-2.567993,8,376.867811
-1.49141,7,378.6193
-2.256938,8,380.388529
-2.207036,6,381.650982
-0.555852,2,382.152283
-0.531242,2,382.419867
-0.685817,2,382.688311
-1.15268,4,383.452598
-2.320963,8,385.21953
-0.842636,3,385.73568
-2.544588,8,387.503108
-2.178125,7,389.253067
-0.681812,3,389.768924
-1.691386,8,391.770305
-1.287529,5,392.790304
-1.233451,4,393.553506
-1.507623,5,394.571936
-1.57951,5,395.588705
-1.760919,6,396.855002
-0.539299,2,397.354727
-2.963346,14,400.62082
-1.720136,7,402.132856
-1.153594,5,403.371086
-0.621528,2,403.638316
-6.077413,23,409.103297
-1.101982,3,409.621809
-0.975411,3,410.138152
-3.413408,14,413.406551
-0.885232,3,414.155302
-0.946037,3,414.671932
-2.171804,12,417.438135
-3.13772,10,419.706105
-3.900887,21,424.722391
-2.433239,8,426.489149
-4.673327,20,431.255186
-1.301059,4,432.022599
-1.908035,10,434.290825
-2.458217,9,436.307064
-0.628917,2,436.573617
-2.441294,13,439.593583
-0.719385,3,440.341415
-2.542552,18,444.605844
-2.995874,11,447.124589
-2.025173,7,448.641378
-0.806169,3,449.159056
-1.485878,6,450.425365
-0.810365,3,451.175866
-0.725891,2,451.442026
-0.556684,2,451.942548
-2.591156,9,453.959015
-1.666554,8,455.725543
-2.617627,10,458.226671
-1.537066,13,461.242668
-0.733932,2,461.509582
-0.893117,3,462.259853
-0.838981,4,463.225033
-0.475737,2,463.710384
-1.891031,7,465.458495
-3.389962,16,469.226624
-0.965832,4,469.994908
-3.381101,17,474.011851
-2.655308,10,476.510888
-1.904756,9,478.528753
-1.754328,7,480.044806
-0.614497,2,480.547383
-0.451885,2,481.045136
-3.383529,20,485.814116
-2.314195,14,489.080079
-0.568511,3,489.829756
-1.213509,4,490.829639
-3.067202,15,494.345143
-4.198918,23,499.864292
-0.950405,5,500.880809
-1.302846,5,502.13076
-0.715391,4,503.131316
-1.540581,9,505.148491
-0.643908,3,505.897957
-0.57668,2,506.397716
-2.318153,14,509.663683
-1.140018,5,510.914644
-2.935521,16,514.677748
-2.533841,14,517.945909
-1.651902,6,519.432423
-2.216321,13,522.447109
-1.54745,8,524.44821
-0.935384,4,525.214073
-0.850278,3,525.966143
-3.303071,16,529.715898
-1.843819,8,531.485031
-1.64992,12,534.249466
-1.429928,12,537.018159
-0.422299,2,537.517392
-1.351022,5,538.767374
-0.398258,2,539.267642
-0.748728,3,540.01825
-0.518088,2,540.518137
-0.592662,3,541.268376
-1.479263,6,542.517056
-3.108865,17,546.517866
-1.124919,5,547.535298
-2.549999,16,551.301107
-0.746197,5,552.318824
-1.056192,4,553.085657
-0.434243,2,553.584618
-1.527183,5,554.835364
-0.554205,2,555.101328
-2.62978,12,557.868343
-1.372465,10,560.101525
-0.488477,2,560.602585
-0.668354,3,561.352853
-2.584278,13,564.370149
-1.046249,4,565.370052
-1.205084,6,566.635742
-1.539225,13,569.638635
-1.725285,13,572.637835
-0.905903,4,573.63875
-2.200417,13,576.654244
-1.127322,7,578.172005
-2.121737,15,581.689303
-1.509807,5,582.706571
-0.955518,4,583.473344
-2.719115,14,586.739041
-2.033754,12,589.506216
-1.684571,14,592.771482
-2.201952,8,594.737817
-0.639991,3,595.43932
-1.242005,4,596.439749
-0.866699,4,597.439582
-0.417457,2,597.939984
-0.53426,2,598.439876
-1.88841,9,600.439281
-1.282035,7,601.95473
-2.897531,18,606.223713
-2.111655,12,608.989435
-0.609014,3,609.740883
-2.008379,13,612.756986
-0.47207,2,613.257967
-1.816069,12,616.023808
-0.622857,3,616.773625
-1.152456,4,617.774863
-1.183288,5,619.023879
-0.507549,2,619.508485
-2.553663,15,622.988979
-1.925043,14,626.240358
-1.969381,12,628.991454
-0.825031,3,629.742782
-1.055634,5,630.72068
-1.097567,5,631.725251
-1.061616,5,632.743249
-3.825756,18,636.921238
-0.672445,3,637.660382
-1.64346,14,640.926577
-1.727102,8,642.692808
-0.87872,3,643.444371
-1.741927,10,645.711732
-0.505319,2,646.211211
-1.504944,14,649.47526
-0.522425,2,649.977051
-1.567123,12,652.740795
-0.449156,2,653.228244
-0.867496,4,654.227093
-2.210671,19,658.726903
-0.676355,4,659.495438
-0.766805,3,660.245803
-0.684704,3,660.995986
-2.319961,15,664.510782
-1.788107,14,667.778235
-0.749919,3,668.528816
-1.24759,6,669.794538
-1.742033,15,673.296456
-0.53324,2,673.796027
-0.91702,6,675.06355
-0.403572,2,675.564244
-1.410358,11,678.063044
-1.719458,11,680.563928
-2.03387,13,683.580417
-1.405236,12,686.347738
-1.851053,17,690.364208
-1.791967,14,693.632421
-2.265186,17,697.649914
-0.627611,3,698.400065
-1.2246,10,700.666616
-1.288205,11,703.183733
-1.290077,11,705.700429
-2.062249,15,709.116418
-0.425595,2,709.617114
-0.851541,3,710.367248
-1.457589,9,712.383221
-1.707791,12,715.149708
-1.765278,12,717.916872
-0.428394,2,718.418586
-0.354607,2,718.918013
-0.447645,2,719.418263
-0.466653,2,719.918257
-1.97,11,722.435061
-1.785734,11,724.950192
-1.137708,5,726.202187
-1.936996,16,729.968084
-2.309893,24,735.735488
-0.436707,2,736.236928
-1.443541,9,738.2525
-1.015451,9,740.269353
-0.364511,2,740.770742
-2.348362,17,744.764819
-0.344779,2,745.253767
-1.345412,11,747.719959
-1.692399,11,750.236712
-0.751744,3,750.987817
-0.503915,2,751.488052
-1.457655,9,753.506544
-1.181234,7,755.022332
