rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/episodes,rollout/success_rate,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates
6.71,-0.7315653499999999,9541,2232,4,730,0.84,0.16873052077633993,0.001,0.0001363366931660234,9442
6.51,-0.74190764,9609,2248,4,740,0.85,0.1789201758801937,0.001,0.00012982709722564323,9507
6.5,-0.74481739,9674,2264,4,750,0.84,0.1658843947308404,0.001,9.891675186476537e-05,9573
6.46,-0.74841676,9743,2280,4,760,0.83,0.16946273829255784,0.001,9.925877384375781e-05,9647
6.58,-0.75147641,9801,2294,4,770,0.87,0.17489716907342276,0.001,9.817433844242866e-05,9699
6.48,-0.75450686,9865,2310,4,780,0.87,0.14897259324789047,0.001,0.00010697059769881889,9763
6.27,-0.7408714699999998,9912,2321,4,790,0.86,0.1542373225092888,0.001,8.884505223250017e-05,9813
6.09,-0.72942047,9969,2335,4,800,0.84,0.17162729799747467,0.001,9.424775877657036e-05,9866
6.11,-0.7238382400000002,10035,2351,4,810,0.84,0.17042492516338825,0.001,0.00011001331586157903,9934
6.17,-0.7334318400000001,10097,2365,4,820,0.83,0.16506541413920267,0.001,0.00010064328983259787,9995
6.22,-0.7449793900000004,10163,2381,4,830,0.83,0.1673787757754326,0.001,9.213335336729263e-05,10061
6.08,-0.72053017,10217,2394,4,840,0.82,0.1618191401163737,0.001,0.00010294248932041228,10121
6.09,-0.71240075,10283,2410,4,850,0.81,0.1653314158320427,0.001,8.633104152977467e-05,10182
6.11,-0.7083299200000001,10354,2427,4,860,0.82,0.15636889450252056,0.001,7.840685884730192e-05,10254
6.12,-0.70337823,10413,2441,4,870,0.82,0.16624957074721655,0.001,9.573191709932871e-05,10309
6.07,-0.6925576500000001,10472,2456,4,880,0.82,0.17281031608581543,0.001,5.402098213380668e-05,10370
