rollout/success_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss
0.02,648,2640,11.19,330,4,-0.93494357,0.001,0.5920106768608093,2532,0.0001993167728263264
0.02,666,2712,11.08,340,4,-0.9377848,0.001,0.5858131845792135,2604,0.0002496358647476882
0.05,773,3110,14.31,350,4,-1.13388095,0.001,0.6042978266874949,3006,0.00016377618885599077
0.05,943,3743,19.82,360,3,-1.3968321600000002,0.001,0.6035000532865524,3546,0.0006891745591322737
0.11,1061,4179,23.13,370,3,-1.49711264,0.001,0.5664169788360596,3982,0.0008064020948950201
0.2,1109,4357,23.96,380,3,-1.5134823,0.001,0.5588790575663248,4160,0.0018221558905982722
0.28,1184,4632,25.63,390,3,-1.5286854599999997,0.001,0.4939701457818349,4532,0.0010379217079995822
0.36,1237,4826,26.63,400,3,-1.55172246,0.001,0.4300460398197174,4726,0.000811204023193568
0.42,1343,5218,29.44,410,3,-1.61624967,0.001,0.34682088238852365,5114,0.0007832954343896182
0.52,1370,5316,29.09,420,3,-1.5702407200000004,0.001,0.3304377421736717,5208,0.0006649631250184029
0.61,1422,5506,28.66,430,3,-1.4842263900000003,0.001,0.3011861683860902,5402,0.0007047089273973759
0.69,1470,5684,29.72,440,3,-1.4970446500000003,0.001,0.26135631203651427,5580,0.0006750713160727173
0.73,1486,5744,26.34,450,3,-1.2875845600000002,0.001,0.25149405002593994,5644,0.00048268157115671784
0.81,1523,5878,21.35,460,3,-1.02698386,0.001,0.23163940012454987,5776,0.0004235035507008433
0.82,1540,5943,17.64,470,3,-0.89629149,0.001,0.22197950879732767,5840,0.000341960684939598
0.82,1559,6010,16.53,480,3,-0.8569204799999999,0.001,0.21950252779892512,5906,0.00029097592050675303
0.84,1582,6097,14.65,490,3,-0.8024284099999999,0.001,0.196150921858274,5994,0.0003049788524199707
0.84,1616,6221,13.95,500,3,-0.7647923899999998,0.001,0.1890489331313542,6076,0.0002568464551586658
0.87,1664,6396,11.78,510,3,-0.6950993400000001,0.001,0.17267982537547746,6293,0.00020757870515808463
0.87,1682,6465,11.49,520,3,-0.6900351699999999,0.001,0.16707209000984827,6361,0.0001665217884389373
0.86,1698,6521,10.15,530,3,-0.6530463499999999,0.001,0.17516462008158365,6419,0.0001776827994035557
0.87,1714,6582,8.98,540,3,-0.6216247100000001,0.001,0.16209297378857931,6480,0.00017695570810853192
0.89,1732,6649,9.05,550,3,-0.62461905,0.001,0.15251808241009712,6543,0.00017315462537226267
