rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/success_rate,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss
-0.8969561999999998,5.7,4,11,57,0.0,10,,,,
-0.9070227,6.75,4,29,135,0.0,20,41,0.0028241020627319813,0.001,0.1694459170103073
-0.7782723333333335,5.933333333333334,4,37,178,0.0,30,85,0.0015573979665835698,0.001,0.17876701056957245
-0.69872595,5.2,4,43,208,0.0,40,115,0.0010339545745713015,0.001,0.21622112393379211
-0.64482704,4.76,4,48,238,0.0,50,145,0.0006610470785138508,0.001,0.21020099520683289
-0.6032164833333333,4.483333333333333,4,54,269,0.0,60,176,0.000741143841878511,0.001,0.21465207636356354
-0.5847277857142856,4.371428571428571,5,61,306,0.0,70,212,0.0004824862699024379,0.001,0.22757423669099808
-0.5723663375,4.325,5,68,346,0.0,80,252,0.000433972010796424,0.001,0.24809807538986206
-0.5601807888888888,4.311111111111111,5,77,388,0.0,90,294,0.00037836183910258117,0.001,0.2494632452726364
-0.5628236,4.32,5,86,432,0.0,100,338,0.00037454008270287886,0.001,0.26508811116218567
-0.52128361,4.2,5,95,477,0.0,110,382,0.0004028497569379397,0.001,0.2829555720090866
-0.47902094000000006,3.89,4,104,524,0.0,120,429,0.0003666392673039809,0.001,0.2831880748271942
-0.48274167,3.98,4,115,576,0.0,130,480,0.00034560948067034286,0.001,0.2939496636390686
-0.49136271,4.18,4,126,626,0.0,140,531,0.0003435842227190733,0.001,0.2986234277486801
-0.48682172000000007,4.46,4,138,684,0.0,150,588,0.0004713298112619668,0.001,0.2871162196000417
-0.49410465000000003,4.74,4,151,743,0.0,160,647,0.0004249185440130532,0.001,0.29523011048634845
-0.4938142299999999,4.95,4,164,801,0.01,170,705,0.0005159800299831355,0.001,0.2950754165649414
-0.4844206199999999,5.15,4,177,861,0.02,180,765,0.0007457210886059329,0.001,0.3011591136455536
-0.4848238800000001,5.37,4,191,925,0.02,190,829,0.0005527441874922564,0.001,0.30923257271448773
-0.47296138,5.55,4,204,987,0.02,200,891,0.00046843477009263424,0.001,0.31538671255111694
-0.46745178000000004,5.71,4,218,1048,0.02,210,952,0.0008209682515977571,0.001,0.30916409691174823
-0.45629440000000004,5.84,4,231,1108,0.02,220,1012,0.0010071530608305086,0.001,0.3129824201265971
-0.43959855000000003,5.93,4,244,1169,0.02,230,1073,0.00040828481238956255,0.001,0.3182424008846283
-0.42240441000000006,6.0,4,256,1226,0.03,240,1130,0.0008025241695577279,0.001,0.31882567207018536
-0.4192476200000001,5.98,4,269,1282,0.05,250,1186,0.0011107366396269451,0.001,0.3229435682296753
-0.4077612,5.98,4,282,1341,0.06,260,1245,0.001596563767331342,0.001,0.32185177008310956
-0.3969339600000001,6.0,4,295,1401,0.05,270,1305,0.000692551552284775,0.001,0.33410606781641644
-0.39756181999999995,6.06,4,309,1467,0.05,280,1368,0.0010927627930262436,0.001,0.3294006089369456
-0.3863411099999999,6.03,4,323,1528,0.05,290,1430,0.0013625209006325651,0.001,0.32973335186640423
-0.37651336,6.01,4,335,1588,0.05,300,1492,0.0008045851621621599,0.001,0.33079718550046283
-0.37731316,6.08,4,351,1656,0.07,310,1558,0.0012913930889529486,0.001,0.33749568462371826
-0.37934099,6.15,4,366,1723,0.07,320,1627,0.0015422602397544931,0.001,0.3368419408798218
-0.3755299099999999,6.14,4,379,1783,0.08,330,1687,0.0012375882028469018,0.001,0.3410656750202179
-0.37598117999999997,6.22,4,393,1848,0.08,340,1751,0.00145326794590801,0.001,0.3406418114900589
-0.3768805399999999,6.27,4,407,1909,0.07,350,1812,0.0017713293200358748,0.001,0.3496861259142558
-0.38118922,6.33,4,421,1974,0.07,360,1876,0.0012516009097453206,0.001,0.35251306494077045
-0.3834419799999999,6.37,4,435,2038,0.07,370,1940,0.0015891492699405976,0.001,0.35026276111602783
-0.3809457500000001,6.37,4,450,2104,0.06,380,2008,0.0012576254666782916,0.001,0.35127849380175274
-0.38373172000000005,6.41,4,464,2169,0.07,390,2073,0.0017206025742260472,0.001,0.3581676483154297
-0.38537543,6.46,4,479,2234,0.09,400,2138,0.0015248441486619413,0.001,0.3642093638579051
-0.38212499999999994,6.47,4,494,2303,0.07,410,2206,0.0017057874356396496,0.001,0.3641045391559601
-0.38030843000000003,6.47,4,509,2370,0.07,420,2273,0.0018603512047169108,0.001,0.3634743094444275
-0.38206643000000007,6.54,4,524,2437,0.06,430,2339,0.00170790684309655,0.001,0.37381715575853985
-0.38802707000000003,6.62,4,540,2510,0.05,440,2413,0.001452163901246552,0.001,0.3766202926635742
-0.39619112,6.81,4,558,2590,0.04,450,2492,0.0015745125710964203,0.001,0.3734070882201195
-0.3928013000000001,6.78,4,572,2652,0.04,460,2555,0.0022033665445633233,0.001,0.37433813015619916
-0.39436084999999993,6.79,4,586,2717,0.04,470,2620,0.0018973461535227085,0.001,0.38310228288173676
-0.3947539200000001,6.79,4,601,2783,0.04,480,2686,0.001622844030082758,0.001,0.38244472444057465
-0.39626576999999996,6.8,4,615,2849,0.03,490,2751,0.0013402038991140823,0.001,0.3847077290217082
-0.39778958,6.82,4,630,2916,0.01,500,2819,0.0015457412810064852,0.001,0.3910915156205495
-0.39750473999999997,6.76,4,644,2979,0.01,510,2883,0.002013595774769783,0.001,0.38861599564552307
-0.39809242,6.73,4,658,3043,0.02,520,2946,0.001410575009815927,0.001,0.39690858125686646
-0.39833235,6.72,4,673,3109,0.03,530,3013,0.001592445802608771,0.001,0.40119322141011554
