rollout/success_rate,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate
0.0,7,10,3.7,37,-0.40610280000000004,4,,,,
0.0,7,20,3.8,76,-0.40884085,10,,,,
0.0,6,30,5.666666666666667,170,-0.5984326666666667,26,0.0025705040898174047,0.09829420844713847,64,0.001
0.0,6,40,5.6,224,-0.6137632249999999,35,0.0015393788344226778,0.10486352443695068,124,0.001
0.0,6,50,4.72,236,-0.51556786,35,0.0010862478520721197,0.11262525618076324,137,0.001
0.0,6,60,4.1,246,-0.44395248333333337,35,0.0011821927037090063,0.11235396564006805,147,0.001
0.0,7,70,3.657142857142857,256,-0.39612817142857143,35,0.0009156102896668017,0.10775688290596008,157,0.001
0.0,7,80,3.325,266,-0.36065645,35,0.0006795281078666449,0.1254606544971466,167,0.001
0.0,7,90,3.066666666666667,276,-0.3321761222222222,35,0.0008019939414225519,0.13335758447647095,177,0.001
0.0,7,100,2.86,286,-0.3090555,36,0.0007753049721941352,0.1325947642326355,187,0.001
0.0,8,110,2.59,296,-0.27977575,36,0.0006995184812694788,0.13207988440990448,197,0.001
0.0,8,120,2.3,306,-0.24849899,36,0.0005265496438369155,0.13658469915390015,207,0.001
0.0,8,130,1.46,316,-0.16179467000000006,36,0.0005002505495212972,0.13670572638511658,217,0.001
0.0,8,140,1.02,326,-0.10608668000000002,36,0.0004976129857823253,0.14482998847961426,227,0.001
0.0,9,150,1.02,338,-0.10623372999999998,36,0.0005664944183081388,0.14492495357990265,238,0.001
0.0,9,160,1.13,359,-0.11961944999999999,39,0.0005799162900075316,0.13251587748527527,259,0.001
0.0,9,170,1.3,386,-0.14574091,42,0.00039285053208004683,0.15404891222715378,284,0.001
0.0,9,180,1.43,409,-0.16569374999999997,45,0.0003066276549361646,0.1606074422597885,309,0.001
0.0,9,190,1.52,428,-0.17742454999999996,46,0.00029106231522746384,0.16397972404956818,327,0.001
0.0,9,200,1.58,444,-0.18678899999999998,48,0.00023969754693098366,0.16672351956367493,345,0.001
0.0,9,210,1.64,460,-0.19047601,49,0.0003322053380543366,0.1616608202457428,361,0.001
0.0,9,220,1.68,474,-0.19480120999999997,50,0.00026681978488340974,0.17672154307365417,375,0.001
0.0,9,230,1.74,490,-0.20069943999999995,51,0.0002593511017039418,0.17759685218334198,391,0.001
0.0,9,240,1.79,505,-0.20692602000000004,52,0.0003205515386071056,0.19083130359649658,405,0.001
0.0,9,250,1.81,519,-0.20993911000000004,53,0.0003280916716903448,0.1818479299545288,420,0.001
0.0,9,260,1.74,533,-0.20407817,54,0.0004114556941203773,0.18763628602027893,434,0.001
0.0,9,270,1.59,545,-0.17965948999999998,54,0.0002954118244815618,0.19015437364578247,446,0.001
0.0,10,280,1.47,556,-0.15980431999999997,54,0.0003161563363391906,0.1925472617149353,457,0.001
0.0,10,290,1.38,566,-0.14655093,54,0.00031235278584063053,0.20418508350849152,467,0.001
0.0,10,300,1.35,579,-0.14156246,55,0.00031888741068542004,0.20344007015228271,479,0.001
0.0,10,310,1.32,592,-0.14167963000000003,56,0.0003169183328282088,0.21366380155086517,493,0.001
0.0,10,320,1.29,603,-0.13949436,56,0.0002746029058471322,0.19127210974693298,504,0.001
0.0,10,330,1.23,613,-0.13173726,56,0.0003718071384355426,0.19783668220043182,514,0.001
0.0,10,340,1.18,623,-0.12485064999999997,56,0.00034353515366092324,0.19934242963790894,524,0.001
0.0,11,350,1.14,633,-0.11835716999999998,56,0.00036878191167488694,0.20220425724983215,534,0.001
0.0,11,360,1.1,643,-0.11248649999999998,56,0.0003097471781075001,0.19705578684806824,544,0.001
0.0,11,370,1.08,653,-0.11044480999999999,56,0.0004300863656681031,0.1993892341852188,554,0.001
0.0,11,380,1.07,663,-0.10758865999999999,56,0.00040518143214285374,0.2182701826095581,564,0.001
0.0,11,390,1.07,673,-0.10809312,57,0.00036390215973369777,0.20804956555366516,574,0.001
0.0,11,400,1.04,683,-0.10296493,57,0.0003433192614465952,0.2139604091644287,584,0.001
0.0,12,410,1.02,694,-0.09744375000000001,57,0.0003280211240053177,0.2220122516155243,595,0.001
0.0,12,420,1.03,706,-0.09764278000000001,57,0.00032311779796145856,0.22287189960479736,607,0.001
0.0,12,430,1.04,717,-0.09942245999999999,58,0.00029418047051876783,0.2209649682044983,618,0.001
0.0,12,440,1.05,728,-0.10022475,58,0.00038558332016691566,0.23005835711956024,629,0.001
0.0,12,450,1.06,739,-0.10158567,58,0.0005225934437476099,0.23517709970474243,639,0.001
0.0,12,460,1.08,751,-0.10316516999999999,59,0.0004459347401279956,0.21356163918972015,651,0.001
0.0,12,470,1.1,763,-0.10480625999999998,59,0.00037439243169501424,0.22432497143745422,664,0.001
0.0,12,480,1.13,776,-0.10873067,60,0.00036458612885326147,0.2251279652118683,677,0.001
0.0,12,490,1.26,799,-0.11922512000000002,62,0.00033497344702482224,0.22242683172225952,695,0.001
0.0,12,500,1.38,821,-0.12939916,65,0.0004186825826764107,0.21976442635059357,722,0.001
0.0,12,510,1.59,853,-0.14645246999999997,69,0.0004711005506881823,0.2381286844611168,754,0.001
0.0,12,520,1.74,880,-0.15115457000000002,72,0.0005592980208651473,0.21379853785037994,779,0.001
0.0,11,530,1.99,916,-0.17867318000000001,77,0.000581473713585486,0.2079760879278183,815,0.001
0.0,11,540,2.18,946,-0.19700781,81,0.0005799255644281706,0.217173233628273,845,0.001
