time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,train/critic_loss
5,13,67,10,0.0,-1.7993291,6.7,,,,,,
5,22,115,20,0.0,-1.555552,5.75,0.9870757460594177,-4.385226249694824,-0.06565490365028381,14,0.001,0.5894246101379395
5,29,151,30,0.0,-1.4066940999999997,5.033333333333333,0.9521743059158325,-3.7858221530914307,-0.2467309832572937,50,0.001,0.07010075449943542
5,36,186,40,0.0,-1.338188875,4.65,0.9193992018699646,-3.8564512729644775,-0.42337435483932495,85,0.001,0.0559057854115963
4,51,249,50,0.0,-1.3947412799999999,4.98,0.8632245063781738,-3.921168565750122,-0.739188015460968,148,0.001,0.028794685378670692
4,62,304,60,0.0,-1.4463338000000001,5.066666666666666,0.8169650435447693,-4.019062042236328,-1.018881916999817,203,0.001,0.03267794847488403
4,75,364,70,0.0,-1.4752727142857143,5.2,0.7693465948104858,-4.154007911682129,-1.3321375846862793,263,0.001,0.02502444200217724
4,82,401,80,0.0,-1.4311247875,5.0125,0.7413929104804993,-4.230424880981445,-1.5172656774520874,300,0.001,0.021438773721456528
4,98,469,90,0.0,-1.4931152,5.211111111111111,0.6926313638687134,-4.353934288024902,-1.8535394668579102,368,0.001,0.01933148130774498
4,108,518,100,0.0,-1.48836772,5.18,0.6595031023025513,-4.475534439086914,-2.1076886653900146,417,0.001,0.02025521919131279
4,116,561,110,0.0,-1.44241628,4.94,0.6317360997200012,-4.555418491363525,-2.321166753768921,460,0.001,0.020420851185917854
4,125,606,120,0.0,-1.44362775,4.91,0.6039414405822754,-4.63631534576416,-2.5396952629089355,505,0.001,0.01607976108789444
4,139,671,130,0.0,-1.52627506,5.2,0.5659320950508118,-4.7400360107421875,-2.878415584564209,570,0.001,0.018236596137285233
4,155,737,140,0.0,-1.5888950799999997,5.51,0.5297820568084717,-4.847067832946777,-3.2331581115722656,636,0.001,0.010405072011053562
4,164,781,150,0.0,-1.55181824,5.32,0.5069694519042969,-4.876084327697754,-3.4378199577331543,680,0.001,0.011326152831315994
4,177,838,160,0.0,-1.5438371399999995,5.34,0.47888296842575073,-4.936161041259766,-3.717602252960205,737,0.001,0.008638326078653336
4,189,895,170,0.0,-1.53567991,5.31,0.4523547887802124,-4.984152317047119,-4.006478786468506,794,0.001,0.008425064384937286
4,204,961,180,0.0,-1.6169532599999998,5.6,0.4234675467014313,-5.056890964508057,-4.330073833465576,860,0.001,0.01230913307517767
4,220,1034,190,0.0,-1.63871284,5.65,0.39365169405937195,-5.067332744598389,-4.687687397003174,933,0.001,0.006154160015285015
4,231,1087,200,0.0,-1.64978392,5.69,0.37333470582962036,-5.105528354644775,-4.960012435913086,986,0.001,0.005021096207201481
4,240,1128,210,0.0,-1.62550581,5.67,0.35835620760917664,-5.1285552978515625,-5.155606269836426,1027,0.001,0.005512300878763199
4,250,1176,220,0.0,-1.6348578100000004,5.7,0.3415650427341461,-5.171055793762207,-5.453036308288574,1075,0.001,0.0053417738527059555
4,259,1222,230,0.0,-1.58018545,5.51,0.3262160122394562,-5.192142486572266,-5.64107608795166,1121,0.001,0.005878092255443335
4,270,1274,240,0.0,-1.5509796900000001,5.37,0.30969730019569397,-5.1720871925354,-5.894435882568359,1173,0.001,0.004502509720623493
4,285,1338,250,0.0,-1.58805782,5.57,0.29052436351776123,-5.170471668243408,-6.256649017333984,1237,0.001,0.004576546140015125
4,302,1416,260,0.0,-1.65182288,5.78,0.26874104142189026,-5.150234222412109,-6.658076286315918,1315,0.001,0.004318906459957361
4,321,1498,270,0.0,-1.6921591299999996,6.03,0.24762047827243805,-5.181275367736816,-7.041805267333984,1397,0.001,0.0046600946225225925
4,330,1542,280,0.0,-1.62904424,5.81,0.23698492348194122,-5.157548427581787,-7.24149751663208,1441,0.001,0.0038852840662002563
4,342,1598,290,0.0,-1.5819889499999997,5.64,0.22411736845970154,-5.116984844207764,-7.510221004486084,1497,0.001,0.0033110384829342365
4,357,1666,300,0.0,-1.61389365,5.79,0.20942805707454681,-5.053903579711914,-7.807555675506592,1565,0.001,0.003537286538630724
4,376,1749,310,0.0,-1.6934716900000004,6.21,0.1928139179944992,-5.064577579498291,-8.259624481201172,1648,0.001,0.0024766228161752224
4,397,1841,320,0.0,-1.7953535399999998,6.65,0.17595671117305756,-4.972349166870117,-8.799175262451172,1740,0.001,0.002216240856796503
4,418,1930,330,0.0,-1.88136741,7.08,0.16107623279094696,-4.95124626159668,-9.084075927734375,1829,0.001,0.0023722220212221146
4,447,2054,340,0.0,-1.9859734400000002,7.8,0.14248257875442505,-4.818305492401123,-9.666817665100098,1953,0.001,0.0023977947421371937
4,469,2153,350,0.0,-2.04219295,8.15,0.12924368679523468,-4.7359819412231445,-10.150107383728027,2052,0.001,0.0025027806404978037
4,488,2234,360,0.0,-2.0066808,8.18,0.11937127262353897,-4.64356803894043,-10.340060234069824,2133,0.001,0.0028042977210134268
4,509,2326,370,0.0,-1.97082052,8.28,0.10911168903112411,-4.616973876953125,-10.84814453125,2225,0.001,0.002593579236418009
4,535,2435,380,0.0,-2.0099248999999997,8.93,0.09817466884851456,-4.511042594909668,-11.186684608459473,2334,0.001,0.001943441922776401
4,556,2525,390,0.0,-2.0091201000000005,9.27,0.09003055840730667,-4.382839202880859,-11.403825759887695,2424,0.001,0.0032616257667541504
