time/fps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,train/ent_coef,time/episodes,train/actor_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/success_rate,train/n_updates,train/ent_coef_loss
4,0.001,-2.3495927,0.6424767971038818,0.987082839012146,10,-4.433358192443848,11.5,24,115,0.0,14,-0.06542538106441498
4,0.001,-1.7393658000000003,0.05535335838794708,0.9351997375488281,20,-3.8504629135131836,8.45,36,169,0.0,68,-0.33852118253707886
4,0.001,-1.755179533333333,0.036787405610084534,0.8419169187545776,30,-4.004589557647705,9.133333333333333,60,274,0.0,173,-0.8720517754554749
4,0.001,-1.76520805,0.02316514030098915,0.761747419834137,40,-4.195517539978027,9.35,82,374,0.0,273,-1.3780854940414429
4,0.001,-1.7029246799999997,0.018353117629885674,0.7109369039535522,50,-4.312897682189941,8.86,97,443,0.0,342,-1.72271728515625
4,0.001,-1.7759881333333332,0.013645876199007034,0.6432715058326721,60,-4.516740798950195,9.05,120,543,0.0,442,-2.2305023670196533
4,0.001,-1.6983928428571426,0.014276031404733658,0.6003870964050293,70,-4.641247749328613,8.742857142857142,135,612,0.0,511,-2.56451678276062
4,0.001,-1.6494313624999997,0.009382998570799828,0.5575594902038574,80,-4.781250953674316,8.575,151,686,0.0,585,-2.9545817375183105
4,0.001,-1.6866022333333333,0.014393159188330173,0.5044853687286377,90,-4.9159955978393555,8.733333333333333,173,786,0.0,685,-3.458693504333496
4,0.001,-1.66547446,0.007882152684032917,0.4670872390270233,100,-4.973191261291504,8.63,190,863,0.0,762,-3.8390181064605713
4,0.001,-1.68369884,0.011551687493920326,0.40932998061180115,110,-5.065733432769775,8.8,221,995,0.01,894,-4.498510837554932
4,0.001,-1.7919105000000002,0.009553484618663788,0.3663283586502075,120,-5.217513084411621,9.37,246,1106,0.01,1005,-5.056248664855957
4,0.001,-1.76870403,0.008393833413720131,0.33715271949768066,130,-5.193729877471924,9.15,265,1189,0.01,1088,-5.510027885437012
4,0.001,-1.8195279199999999,0.010059494525194168,0.30203789472579956,140,-5.25393009185791,9.25,290,1299,0.01,1198,-6.053083896636963
4,0.001,-1.8229005099999998,0.009374408982694149,0.28022217750549316,150,-5.262639999389648,9.31,306,1374,0.01,1273,-6.453984260559082
4,0.001,-1.7678830099999998,0.009644027799367905,0.2594548463821411,160,-5.242254257202148,9.08,323,1451,0.01,1350,-6.815829277038574
4,0.001,-1.7991655699999995,0.010441851802170277,0.2368982881307602,170,-5.17918586730957,9.3,343,1542,0.01,1441,-7.239684104919434
4,0.001,-1.86778885,0.005859951488673687,0.20953479409217834,180,-5.1088547706604,9.79,372,1665,0.01,1564,-7.865603446960449
4,0.001,-1.82978648,0.008467275649309158,0.19135580956935883,190,-5.104751110076904,9.7,392,1756,0.01,1655,-8.315568923950195
4,0.001,-1.8869696200000001,0.006153926253318787,0.1726885735988617,200,-4.956494331359863,9.96,416,1859,0.01,1758,-8.819809913635254
