time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
500,24.71,1822,4,-0.88267774,0.86,7934,0.00017870356636454484,0.001,7790,0.1308001716222082
510,23.11,1865,4,-0.8382326900000001,0.86,8113,0.0002643401118499848,0.001,7914,0.13140211751063666
520,22.04,1887,4,-0.8098037399999999,0.87,8204,0.00017841972259616124,0.001,8099,0.1285388469696045
530,20.39,1907,4,-0.77061759,0.88,8285,0.00017477357843225555,0.001,8172,0.13266595772334508
540,21.13,1983,4,-0.79090677,0.88,8604,0.0001848724272713298,0.001,8405,0.12342435106635094
550,20.15,1998,4,-0.7725800599999998,0.89,8665,0.00014384700807568152,0.001,8560,0.1144137792289257
560,18.11,2037,4,-0.7222269200000001,0.9,8829,0.00013380008022068068,0.001,8724,0.12078836280852556
570,17.36,2078,4,-0.7149923300000001,0.9,8999,0.00017761561903171242,0.001,8894,0.11666548550128937
580,18.12,2117,4,-0.74120794,0.9,9160,0.00014737410401721718,0.001,9054,0.11772696115076542
590,15.0,2136,4,-0.65340566,0.93,9240,0.00012274596104232063,0.001,9132,0.12003676061119352
600,13.74,2152,4,-0.63043624,0.94,9308,0.00010634315913193859,0.001,9203,0.12179413065314293
610,12.6,2168,4,-0.59662386,0.95,9373,0.0001241173915332183,0.001,9269,0.1133229061961174
620,12.33,2183,4,-0.58437107,0.95,9437,0.0001691362349447445,0.001,9330,0.1166643314063549
630,12.14,2198,4,-0.5753494100000001,0.95,9499,0.00011011031019734219,0.001,9394,0.11096081882715225
640,12.61,2286,4,-0.56713895,0.94,9865,8.162584417732432e-05,0.001,9762,0.11061875075101853
650,12.66,2302,4,-0.5789612900000001,0.94,9931,9.065506310435012e-05,0.001,9826,0.1026495173573494
660,11.66,2317,4,-0.5427613099999998,0.95,9995,9.663991513662041e-05,0.001,9891,0.10107965469360351
670,10.55,2331,4,-0.50638887,0.96,10054,9.81940450271525e-05,0.001,9950,0.102947755583695
680,9.57,2347,4,-0.47286003,0.97,10117,0.00010115200815822131,0.001,10011,0.10288777734552111
690,9.28,2359,4,-0.45839071,0.97,10168,7.906371174613014e-05,0.001,10062,0.09865389615297318
700,9.25,2374,4,-0.4603867500000001,0.97,10233,8.241267884538199e-05,0.001,10127,0.09918019796411197
710,9.16,2388,4,-0.4611844500000001,0.97,10289,8.755060844123363e-05,0.001,10184,0.09967983812093735
720,9.09,2402,4,-0.45922984,0.97,10346,7.26399145302518e-05,0.001,10240,0.0926397554576397
730,9.05,2416,4,-0.45631190999999993,0.97,10404,6.836679822299629e-05,0.001,10300,0.09543129950761794
740,6.19,2435,4,-0.38968362999999995,1.0,10484,9.03671146564496e-05,0.001,10378,0.09749864786863327
750,6.18,2450,4,-0.38214335000000005,1.0,10549,7.243268873935449e-05,0.001,10442,0.0900938380509615
760,6.6,2476,4,-0.38519704,1.0,10655,6.185818929225207e-05,0.001,10552,0.09939023703336716
770,6.54,2489,4,-0.38619496999999997,1.0,10708,6.492838583653793e-05,0.001,10604,0.08584816008806229
780,6.69,2507,4,-0.39410121,1.0,10786,6.437762749555986e-05,0.001,10663,0.08391010637084644
790,6.9,2525,4,-0.41486911000000004,1.0,10858,7.215129880933091e-05,0.001,10753,0.09437692016363144
800,6.86,2539,4,-0.4108448900000001,1.0,10919,6.527556033688597e-05,0.001,10813,0.08742716908454895
810,6.83,2552,4,-0.4041729200000001,1.0,10972,6.258309658733197e-05,0.001,10868,0.08390144258737564
820,6.83,2565,4,-0.40363224,1.0,11029,6.647925207895848e-05,0.001,10926,0.08694828922549884
830,6.87,2580,4,-0.4119383200000001,1.0,11091,7.645713412784971e-05,0.001,10985,0.08316055561105411
840,6.68,2595,4,-0.41158896000000006,1.0,11152,8.719572880571442e-05,0.001,11048,0.08617152592965535
850,6.71,2611,4,-0.41745872,1.0,11220,6.465902030565e-05,0.001,11115,0.0843641646206379
860,6.21,2625,4,-0.41328468000000007,1.0,11276,5.2214908464520704e-05,0.001,11173,0.08335477486252785
870,6.28,2639,4,-0.41831896999999996,1.0,11336,6.687115001113852e-05,0.001,11231,0.08926141448318958
880,6.01,2652,4,-0.41004526999999996,1.0,11387,6.049892181181349e-05,0.001,11282,0.09139035828411579
890,6.27,2675,4,-0.4060768600000001,1.0,11485,5.434745201325443e-05,0.001,11380,0.08187636945928846
900,6.32,2691,4,-0.40852217,1.0,11551,4.955899809525969e-05,0.001,11443,0.08108881240089734
910,6.41,2706,4,-0.41836961,1.0,11613,5.053672349377949e-05,0.001,11508,0.07745267036888334
920,6.37,2719,4,-0.41728357000000005,1.0,11666,5.330122500405802e-05,0.001,11563,0.07919548451900482
930,6.51,2737,4,-0.41658343,0.99,11742,4.6381582069443536e-05,0.001,11639,0.07881583869457245
940,6.49,2751,4,-0.4180525299999999,0.99,11801,5.239679064418722e-05,0.001,11694,0.08419506996870041
950,6.41,2765,4,-0.4097932399999999,0.99,11861,4.2865175782935697e-05,0.001,11757,0.08150390088558197
960,6.41,2779,4,-0.4071298199999999,0.99,11917,4.922187599731842e-05,0.001,11813,0.07851372100412846
970,6.41,2793,4,-0.4089354599999999,0.99,11977,5.108784534968436e-05,0.001,11872,0.08405115902423858
980,6.72,2813,4,-0.41296984000000003,0.99,12059,4.970815176160873e-05,0.001,11955,0.08532289522034782
990,6.33,2827,4,-0.40697560999999993,0.99,12118,3.996988743892871e-05,0.001,12014,0.08104622053603332
1000,6.18,2839,4,-0.40310696,0.99,12169,3.763033600989729e-05,0.001,12065,0.08260558545589447
1010,6.21,2855,4,-0.40469405,0.99,12234,4.7268822527257726e-05,0.001,12128,0.08469006046652794
1020,6.21,2868,4,-0.40410361999999994,0.99,12287,4.174066179984948e-05,0.001,12182,0.08509801514446735
1030,6.11,2883,4,-0.40710598,1.0,12353,4.5366082000934206e-05,0.001,12248,0.08751226340730985
1040,6.14,2898,4,-0.40841725000000006,1.0,12415,3.752081076007536e-05,0.001,12309,0.08045977460486549
1050,6.22,2915,4,-0.41739956,1.0,12483,4.7116945400678865e-05,0.001,12378,0.08188352237145106
1060,6.6,2937,4,-0.41867462999999994,1.0,12577,4.889272002566775e-05,0.001,12474,0.08136892792853442
1070,6.56,2951,4,-0.4104705399999999,0.99,12633,4.106899359612726e-05,0.001,12530,0.07833218574523926
1080,6.42,2967,4,-0.41483032999999997,0.99,12701,3.690639338553107e-05,0.001,12596,0.0785484251876672
1090,6.64,2986,4,-0.42493801,0.99,12782,4.1498128969881996e-05,0.001,12678,0.0817500576376915
1100,6.66,2999,4,-0.42639971000000004,0.99,12835,4.923027954646386e-05,0.001,12732,0.08275437653064728
1110,6.55,3012,4,-0.42549221000000004,0.99,12889,3.871567787427921e-05,0.001,12785,0.08385124430060387
1120,6.6,3026,4,-0.42989697000000004,0.99,12947,3.4412593595334326e-05,0.001,12838,0.0795494332909584
1130,6.53,3040,4,-0.4276871,0.99,13006,4.340037339716219e-05,0.001,12900,0.08241924494504929
1140,6.46,3053,4,-0.42487714000000004,0.99,13061,3.614721996806717e-05,0.001,12957,0.09070873508850734
1150,6.32,3066,4,-0.41683422,0.99,13115,4.420489009741383e-05,0.001,13010,0.0796674018104871
1160,5.91,3079,4,-0.41353544,0.99,13168,4.404315768624656e-05,0.001,13064,0.0830138549208641
1170,5.87,3091,4,-0.41761613000000003,1.0,13220,3.68334622180555e-05,0.001,13116,0.08480373173952102
1180,5.76,3105,4,-0.41335418999999995,1.0,13277,4.047582260682248e-05,0.001,13173,0.08713206052780151
1190,5.51,3119,4,-0.40580062,1.0,13333,3.0240293199312873e-05,0.001,13229,0.08569392189383507
1200,5.52,3132,4,-0.40808372,1.0,13387,3.725681744981557e-05,0.001,13282,0.08321957439184188
1210,5.54,3145,4,-0.40581122000000003,1.0,13443,3.0418585386845127e-05,0.001,13338,0.08281404276688893
1220,5.54,3159,4,-0.40896408,1.0,13501,4.716059811471496e-05,0.001,13396,0.08154462277889252
1230,5.57,3174,4,-0.40258392,1.0,13563,4.0190984236687655e-05,0.001,13453,0.08064618241041899
1240,5.57,3187,4,-0.3987566799999999,1.0,13618,2.990658640555921e-05,0.001,13514,0.0828560572117567
1250,5.59,3201,4,-0.40039860000000005,1.0,13674,2.8280405240366234e-05,0.001,13568,0.0915200024843216
1260,5.59,3213,4,-0.3996669700000001,1.0,13727,3.354097352712415e-05,0.001,13622,0.08582828342914581
1270,5.62,3226,4,-0.4007529,1.0,13782,3.173392451571999e-05,0.001,13677,0.08662951923906803
1280,5.61,3240,4,-0.40213449999999995,1.0,13838,3.036308044102043e-05,0.001,13734,0.08677271132667859
1290,5.61,3253,4,-0.39950193,1.0,13894,3.658056557469536e-05,0.001,13790,0.08130910396575927
1300,5.64,3267,4,-0.39826094999999995,1.0,13951,3.911726556301195e-05,0.001,13847,0.08615600814421971
1310,5.75,3283,4,-0.40366533,1.0,14018,3.956210374863903e-05,0.001,13912,0.08900368484583768
1320,5.72,3296,4,-0.40337879,1.0,14073,3.798480459712058e-05,0.001,13968,0.082460372398297
1330,5.61,3309,4,-0.39639412999999996,1.0,14124,2.3605125898029654e-05,0.001,14018,0.09017417579889297
1340,5.55,3321,4,-0.39148569999999994,1.0,14173,2.4496060632372973e-05,0.001,14069,0.08279056660830975
1350,5.51,3333,4,-0.38640181999999995,1.0,14225,2.6377796984888846e-05,0.001,14122,0.08590659312903881
1360,5.56,3347,4,-0.39481446000000003,1.0,14283,2.06848286325112e-05,0.001,14179,0.0868575319647789
1370,5.59,3361,4,-0.39734567,1.0,14341,2.916018966061529e-05,0.001,14234,0.08725750893354416
1380,5.56,3374,4,-0.3903521000000001,1.0,14394,2.662773749761982e-05,0.001,14290,0.0823333989828825
1390,5.57,3387,4,-0.39494177,1.0,14451,2.6623072699294426e-05,0.001,14347,0.08397301410635312
1400,5.53,3400,4,-0.39592273000000006,1.0,14504,2.7519901050254702e-05,0.001,14401,0.0892347201704979
1410,5.44,3414,4,-0.38772001,1.0,14562,2.2135865219752304e-05,0.001,14459,0.08359108567237854
1420,5.5,3428,4,-0.3845775699999999,1.0,14623,2.3344699729932473e-05,0.001,14518,0.08603720366954803
1430,5.51,3441,4,-0.39220447999999997,1.0,14675,3.259106900562377e-05,0.001,14569,0.08297088245550792
1440,5.54,3453,4,-0.39798441999999995,1.0,14727,2.6274187985109165e-05,0.001,14624,0.08938135206699371
1450,5.61,3467,4,-0.40263000000000004,1.0,14786,2.699410688364878e-05,0.001,14682,0.0793637290596962
1460,5.57,3480,4,-0.3982842500000001,1.0,14840,2.4654832486703526e-05,0.001,14737,0.08556070551276207
1470,5.59,3495,4,-0.4009808900000001,1.0,14900,3.3205726140295155e-05,0.001,14796,0.08671978754656655
1480,5.55,3507,4,-0.3955251400000001,1.0,14949,2.723891975620063e-05,0.001,14845,0.09003381803631783
1490,5.56,3521,4,-0.39245921,1.0,15007,2.7625079585252228e-05,0.001,14903,0.08987643238570955
1500,5.61,3534,4,-0.39489509,1.0,15065,2.6068896269342595e-05,0.001,14960,0.09222592839172908
1510,5.57,3547,4,-0.39912561999999996,1.0,15119,2.198334065421174e-05,0.001,15014,0.0867086040476958
1520,5.52,3561,4,-0.40194558999999996,1.0,15175,2.5904812597824883e-05,0.001,15071,0.084476371606191
1530,5.6,3575,4,-0.40409645,1.0,15235,2.229311439805315e-05,0.001,15130,0.088851073756814
1540,5.69,3590,4,-0.40517798,1.0,15296,2.8994733293075113e-05,0.001,15192,0.08848878443241119
1550,5.62,3602,4,-0.40067997999999994,1.0,15348,2.2034880592920153e-05,0.001,15245,0.090997613966465
1560,5.57,3614,4,-0.39621101,1.0,15397,2.6934298603009665e-05,0.001,15294,0.08203268051147461
1570,5.45,3626,4,-0.38251412000000007,1.0,15445,2.8497886523837225e-05,0.001,15341,0.08597071319818497
1580,5.52,3639,4,-0.38663430000000004,1.0,15501,2.795647487801034e-05,0.001,15396,0.0894344374537468
1590,5.5,3653,4,-0.38914698000000003,1.0,15557,2.0595711768172415e-05,0.001,15452,0.09024251678160258
1600,5.51,3667,4,-0.38628731,1.0,15616,4.787933490165001e-05,0.001,15511,0.09096898477185857
1610,5.46,3679,4,-0.38155702999999996,1.0,15665,2.556857316449168e-05,0.001,15560,0.09314084611833096
1620,5.42,3691,4,-0.38085742999999994,1.0,15717,2.8953648628278945e-05,0.001,15613,0.08976358671983083
1630,5.41,3705,4,-0.3832457,1.0,15776,2.5679578487012934e-05,0.001,15671,0.09221640548535756
1640,5.36,3719,4,-0.38304792,1.0,15832,2.0627776090501964e-05,0.001,15725,0.08921319618821144
1650,5.33,3731,4,-0.37903923,1.0,15881,2.5963189000322017e-05,0.001,15777,0.08720232397317887
1660,5.41,3744,4,-0.38708608999999994,1.0,15938,3.0914399455165643e-05,0.001,15835,0.09400513271490733
1670,5.6,3760,4,-0.40302819000000006,1.0,16005,2.324175111425575e-05,0.001,15896,0.09324426203966141
1680,5.59,3774,4,-0.4050088,1.0,16060,2.0568286709021776e-05,0.001,15955,0.09000266641378403
1690,5.59,3787,4,-0.40157125,1.0,16116,2.221377170436816e-05,0.001,16012,0.0945372496332441
1700,5.55,3800,4,-0.40111858999999994,1.0,16171,2.483017063544442e-05,0.001,16067,0.09296032538016637
1710,5.62,3814,4,-0.41003856000000005,1.0,16227,2.223103820142569e-05,0.001,16123,0.08953644335269928
1720,5.66,3827,4,-0.40368385,1.0,16283,1.8922181698144414e-05,0.001,16179,0.09402879327535629
1730,5.59,3840,4,-0.39898064,1.0,16335,2.041129255303531e-05,0.001,16231,0.08902590721845627
1740,5.5,3851,4,-0.39055513999999997,1.0,16382,2.3714453709544615e-05,0.001,16278,0.09160752296447754
1750,5.53,3863,4,-0.39703142999999996,1.0,16434,2.88499693851918e-05,0.001,16330,0.09171060770750046
1760,5.48,3876,4,-0.39407044999999996,1.0,16486,1.9578522066391695e-05,0.001,16383,0.0946384072303772
1770,5.38,3890,4,-0.39244133000000003,1.0,16543,1.836912670114543e-05,0.001,16437,0.09177628308534622
1780,5.33,3902,4,-0.39079410000000003,1.0,16593,2.0766320176335284e-05,0.001,16488,0.08783533051609993
1790,5.27,3914,4,-0.3880521800000001,1.0,16643,1.8603688295115718e-05,0.001,16538,0.08876003921031952
1800,5.23,3926,4,-0.38701317,1.0,16694,1.713608617137652e-05,0.001,16589,0.08963972330093384
1810,5.27,3941,4,-0.38406224,1.0,16754,2.8938290597579908e-05,0.001,16651,0.09783208618561427
1820,5.27,3954,4,-0.3906813,1.0,16810,2.014864761198017e-05,0.001,16707,0.08231594537695248
1830,5.28,3967,4,-0.38917831999999997,1.0,16863,2.1789037782582453e-05,0.001,16758,0.09197997599840164
1840,5.34,3979,4,-0.39542001,1.0,16916,1.633328320167493e-05,0.001,16813,0.09371459782123566
1850,5.39,3993,4,-0.40092650999999996,1.0,16973,7.607020112724665e-05,0.001,16869,0.0958812174697717
1860,5.41,4006,4,-0.4037991899999999,1.0,17027,2.2087900651968086e-05,0.001,16924,0.09204454123973846
1870,5.38,4019,4,-0.39258281999999994,1.0,17081,2.1438900148496032e-05,0.001,16978,0.08878961391746998
1880,5.46,4033,4,-0.3961233200000001,1.0,17139,2.1207082985104837e-05,0.001,17036,0.08936882888277371
1890,5.48,4045,4,-0.39399841,1.0,17191,1.596534639247693e-05,0.001,17084,0.08888571336865425
1900,5.5,4058,4,-0.39681508,1.0,17244,1.814571351133054e-05,0.001,17140,0.09608455250660579
1910,5.51,4073,4,-0.39538629000000003,1.0,17305,2.2386337604984874e-05,0.001,17193,0.09394210204482079
1920,5.5,4086,4,-0.39389769,1.0,17360,1.8025598183157854e-05,0.001,17254,0.08852185904979706
1930,5.5,4099,4,-0.3927953,1.0,17413,1.7228426077053883e-05,0.001,17308,0.09272072166204452
1940,5.45,4110,4,-0.38798194,1.0,17461,1.8456360749041778e-05,0.001,17357,0.09136335924267769
1950,5.5,4125,4,-0.38434383999999994,1.0,17523,2.064546121497794e-05,0.001,17418,0.0932898794611295
1960,5.47,4138,4,-0.37415423999999997,1.0,17574,2.5669038768683096e-05,0.001,17470,0.09393483102321624
1970,5.42,4149,4,-0.3742884000000001,1.0,17623,1.3430187755147926e-05,0.001,17519,0.09206514209508895
1980,5.41,4163,4,-0.3748814900000001,1.0,17680,1.8341081418579313e-05,0.001,17577,0.09278181940317154
1990,5.39,4175,4,-0.37448974,1.0,17730,2.0860556105617434e-05,0.001,17626,0.09970170259475708
2000,5.45,4189,4,-0.37561063000000006,1.0,17789,1.4653320379563541e-05,0.001,17684,0.09569038663591657
2010,5.32,4201,4,-0.36933921000000003,1.0,17837,1.5767633840368944e-05,0.001,17733,0.09885063767433167
2020,5.32,4214,4,-0.36513280000000004,1.0,17892,1.3661504843704669e-05,0.001,17788,0.09199370230947222
2030,5.31,4226,4,-0.36498275999999996,1.0,17944,1.6024762589950115e-05,0.001,17840,0.088285630941391
2040,5.34,4239,4,-0.36590298000000004,1.0,17995,2.3502567273681052e-05,0.001,17891,0.09089350402355194
2050,5.24,4251,4,-0.3625905100000001,1.0,18047,2.1042133994342294e-05,0.001,17944,0.095771923661232
2060,5.29,4265,4,-0.3744472499999999,1.0,18103,3.699502885865513e-05,0.001,17998,0.09778023213148117
2070,5.34,4278,4,-0.3804925899999999,1.0,18157,1.562577326694736e-05,0.001,18053,0.09587995558977128
2080,5.3,4290,4,-0.38207611999999996,1.0,18210,2.087802780200339e-05,0.001,18106,0.08791783327857654
2090,5.31,4303,4,-0.38096772000000007,1.0,18261,2.135480026481673e-05,0.001,18157,0.08998201787471771
2100,5.23,4315,4,-0.37434517,1.0,18312,1.7082675003621262e-05,0.001,18208,0.0911351978778839
2110,5.3,4328,4,-0.37479158999999995,1.0,18367,1.9937693347552948e-05,0.001,18264,0.09292286386092503
2120,5.27,4341,4,-0.37518549999999995,1.0,18419,1.3367939269907462e-05,0.001,18315,0.08939138799905777
2130,5.3,4354,4,-0.37983821000000006,1.0,18474,1.4447067163321966e-05,0.001,18370,0.09079959119359653
2140,5.32,4367,4,-0.38730285000000003,1.0,18527,1.2783003057847964e-05,0.001,18423,0.09807310625910759
2150,5.36,4380,4,-0.39126482,1.0,18583,1.3054890359853744e-05,0.001,18478,0.08995471335947514
2160,5.32,4392,4,-0.3849315,1.0,18635,1.49464709465974e-05,0.001,18530,0.09018256217241287
2170,5.37,4407,4,-0.38753640000000006,1.0,18694,1.6762825543992223e-05,0.001,18588,0.0870677337050438
2180,5.35,4419,4,-0.3843922799999999,1.0,18745,1.690426270215539e-05,0.001,18642,0.09893589019775391
2190,5.35,4431,4,-0.38375329,1.0,18796,1.256970954273129e-05,0.001,18693,0.0920210599899292
2200,5.35,4443,4,-0.38726101999999996,1.0,18847,1.3860566104995086e-05,0.001,18743,0.09702755063772202
2210,5.39,4458,4,-0.39852274,1.0,18906,1.0793174775850881e-05,0.001,18801,0.0953573336203893
2220,5.34,4469,4,-0.39195091,1.0,18953,1.3011051578359911e-05,0.001,18850,0.09482470713555813
2230,5.34,4482,4,-0.3973656,1.0,19008,1.6070885673495166e-05,0.001,18903,0.09583011269569397
2240,5.33,4495,4,-0.40005528999999995,1.0,19060,1.7284472232859115e-05,0.001,18956,0.09744889438152313
2250,5.33,4508,4,-0.39375214,1.0,19116,2.1397177685382e-05,0.001,19013,0.09798930585384369
2260,5.37,4522,4,-0.39964461,1.0,19172,2.0798583500436506e-05,0.001,19067,0.09851322025060653
2270,5.29,4534,4,-0.39161557,1.0,19223,1.317337152310453e-05,0.001,19120,0.09332633887728055
2280,5.35,4548,4,-0.39382491,1.0,19280,1.0934393685602117e-05,0.001,19175,0.0925886332988739
2290,5.39,4561,4,-0.4035700899999999,1.0,19335,1.5923462645635784e-05,0.001,19232,0.0985562118391196
2300,5.39,4573,4,-0.4009728000000001,1.0,19386,1.3355397641134914e-05,0.001,19282,0.09741423577070236
2310,5.32,4586,4,-0.39347519,1.0,19438,1.5102252594563955e-05,0.001,19335,0.09513017659385999
2320,5.35,4598,4,-0.3965888299999999,1.0,19488,1.0306056719855405e-05,0.001,19384,0.09514453560113907
2330,5.31,4610,4,-0.38657228999999993,1.0,19539,1.1463429927971447e-05,0.001,19434,0.09337415297826131
2340,5.32,4623,4,-0.38396726000000003,1.0,19592,1.4037104483577422e-05,0.001,19488,0.0935370534658432
2350,5.31,4636,4,-0.3880809,1.0,19647,1.5642492649527008e-05,0.001,19543,0.10081897096501456
2360,5.31,4649,4,-0.38580428999999994,1.0,19703,1.214154638416533e-05,0.001,19598,0.09388633178813117
2370,5.34,4662,4,-0.39250659000000004,1.0,19757,1.4648698652308667e-05,0.001,19654,0.09820351004600525
2380,5.26,4674,4,-0.38826856,1.0,19806,1.0891332385654095e-05,0.001,19701,0.09347728937864304
2390,5.32,4689,4,-0.38319441000000004,1.0,19867,1.57307404151652e-05,0.001,19762,0.10012543573975563
2400,5.33,4701,4,-0.38434385999999987,1.0,19919,2.4437862884951754e-05,0.001,19814,0.09051162898540496
2410,5.35,4714,4,-0.3855889599999999,1.0,19973,2.2719418211636366e-05,0.001,19868,0.10327508486807346
2420,5.36,4726,4,-0.38654923999999996,1.0,20024,1.3415980750626963e-05,0.001,19920,0.09429758166273434
2430,5.38,4739,4,-0.39371762,1.0,20077,2.6575466108624823e-05,0.001,19974,0.095785953104496
2440,5.36,4751,4,-0.39371998999999996,1.0,20128,1.3038945629280837e-05,0.001,20023,0.09940950696667035
2450,5.3,4763,4,-0.39040029,1.0,20177,1.411087373526243e-05,0.001,20072,0.09526145085692406
2460,5.23,4775,4,-0.38687865999999993,1.0,20226,1.4755828487977851e-05,0.001,20121,0.09304534085094929
2470,5.23,4788,4,-0.38177934999999996,1.0,20280,1.5203405610009213e-05,0.001,20176,0.09381507709622383
2480,5.26,4800,4,-0.38509207999999995,1.0,20332,1.929505318306231e-05,0.001,20227,0.09851100544134776
2490,5.23,4814,4,-0.3911322199999999,1.0,20390,1.2074783777885992e-05,0.001,20285,0.09156259894371033
2500,5.21,4826,4,-0.38683645,1.0,20440,1.4068557902646717e-05,0.001,20336,0.09352077543735504
2510,5.19,4839,4,-0.3856181900000001,1.0,20492,9.934577443952245e-06,0.001,20388,0.09984113400181134
2520,5.24,4852,4,-0.39042499999999997,1.0,20548,2.4190712489750393e-05,0.001,20444,0.10337196787198384
2530,5.3,4867,4,-0.3918014899999999,1.0,20607,9.09760422018735e-06,0.001,20502,0.0985035840421915
2540,5.28,4878,4,-0.38773805000000006,1.0,20656,1.4766489766770973e-05,0.001,20552,0.09973417818546296
